Akarere,Intara,Ubumenyi_bwo_Gusoma_%,Ubumenyi_Abagabo_%,Ubumenyi_Abagore_%,Abahuguwe,Abigishijwe_Mu_Maboko
Gasabo,Kigali,0.851,0.677,0.807,6000,1529
Kicukiro,Kigali,0.704,0.788,0.873,13998,4762
Nyarugenge,Kigali,0.736,0.829,0.896,14225,4620
Bugesera,Uburasirazuba,0.877,0.848,0.883,1498,1252
Gatsibo,Uburasirazuba,0.76,0.729,0.772,14897,6369
Kayonza,Uburasirazuba,0.834,0.842,0.798,10815,7600
Kirehe,Uburasirazuba,0.717,0.771,0.87,731,7150
Ngoma,Uburasirazuba,0.784,0.684,0.878,3284,2385
Nyagatare,Uburasirazuba,0.804,0.833,0.823,13634,605
Rwamagana,Uburasirazuba,0.748,0.711,0.817,6777,515
Burera,Amajyaruguru,0.85,0.802,0.819,1663,4499
Gakenke,Amajyaruguru,0.726,0.846,0.844,11152,349
Gicumbi,Amajyaruguru,0.776,0.831,0.807,1021,5440
Musanze,Amajyaruguru,0.839,0.717,0.87,12877,6316
Rulindo,Amajyaruguru,0.781,0.718,0.891,10927,4508
Gisagara,Amajyepfo,0.798,0.703,0.887,13822,861
Huye,Amajyepfo,0.833,0.714,0.826,2146,6523
Kamonyi,Amajyepfo,0.861,0.671,0.761,5914,1401
Muhanga,Amajyepfo,0.86,0.806,0.88,639,304
Nyamagabe,Amajyepfo,0.861,0.824,0.843,2765,5083
Nyanza,Amajyepfo,0.874,0.742,0.881,11898,1025
Nyaruguru,Amajyepfo,0.724,0.791,0.78,11317,833
Ruhango,Amajyepfo,0.718,0.84,0.751,11978,2017
Karongi,Uburengerazuba,0.71,0.666,0.798,8175,3913
Ngororero,Uburengerazuba,0.739,0.848,0.841,3197,2446
Nyabihu,Uburengerazuba,0.835,0.823,0.759,3181,249
Nyamasheke,Uburengerazuba,0.735,0.69,0.772,8358,7787
Rubavu,Uburengerazuba,0.84,0.791,0.761,3212,2706
Rutsiro,Uburengerazuba,0.898,0.682,0.845,9088,4892
Rusizi,Uburengerazuba,0.801,0.707,0.814,12454,5936
