Akarere,Intara,Uburezi_Abagabo_%,Uburezi_Abagore_%,Uburezi_Bose_%,Amashuri_Yisumbuye_%,Kaminuza_%,Nta_Burezi_%,Abafunzwe_Gukunda_Gusoma
Gasabo,Kigali,94.2,91.8,93.0,67.4,18.9,7.0,2345
Kicukiro,Kigali,93.7,91.2,92.5,65.8,17.2,7.5,1987
Nyarugenge,Kigali,93.1,90.6,91.9,63.4,16.1,8.1,1856
Burera,Amajyaruguru,76.4,68.2,72.3,28.4,2.1,27.7,4234
Gakenke,Amajyaruguru,74.8,66.7,70.8,26.8,1.9,29.2,4012
Gicumbi,Amajyaruguru,78.1,70.4,74.3,30.1,2.3,25.7,4567
Musanze,Amajyaruguru,82.4,75.6,79.0,36.7,3.4,21.0,4123
Rulindo,Amajyaruguru,73.4,65.4,69.4,25.4,1.7,30.6,3456
Gisagara,Amajyepfo,71.8,63.7,67.8,23.8,1.5,32.2,3789
Huye,Amajyepfo,80.6,73.7,77.2,34.1,4.8,22.8,3987
Kamonyi,Amajyepfo,75.2,67.1,71.2,27.2,2.0,28.8,3678
Muhanga,Amajyepfo,76.7,68.7,72.7,28.7,2.2,27.3,3789
Nyamagabe,Amajyepfo,71.2,63.2,67.2,23.2,1.4,32.8,3890
Nyanza,Amajyepfo,74.6,66.5,70.6,26.6,1.8,29.4,3567
Nyaruguru,Amajyepfo,70.4,62.3,66.4,22.4,1.3,33.6,3456
Ruhango,Amajyepfo,75.0,66.9,71.0,27.0,1.9,29.0,3612
Bugesera,Iburasirazuba,77.8,70.1,74.0,29.8,2.2,26.0,4345
Gatsibo,Iburasirazuba,74.2,66.1,70.2,26.2,1.7,29.8,3890
Kayonza,Iburasirazuba,73.6,65.5,69.6,25.6,1.6,30.4,3723
Kirehe,Iburasirazuba,73.9,65.8,69.9,25.9,1.7,30.1,3756
Ngoma,Iburasirazuba,75.4,67.3,71.4,27.4,2.0,28.6,3612
Nyagatare,Iburasirazuba,78.4,70.7,74.6,30.4,2.3,25.4,4456
Rwamagana,Iburasirazuba,77.2,69.5,73.4,29.2,2.1,26.6,3890
Karongi,Iburengerazuba,73.4,65.3,69.4,25.4,1.6,30.6,3678
Ngororero,Iburengerazuba,72.8,64.7,68.8,24.8,1.5,31.2,3567
Nyabihu,Iburengerazuba,73.1,65.0,69.1,25.1,1.6,30.9,3612
Nyamasheke,Iburengerazuba,72.6,64.5,68.6,24.6,1.5,31.4,3689
Rubavu,Iburengerazuba,84.2,77.4,80.8,38.4,4.1,19.2,2890
Rutsiro,Iburengerazuba,71.6,63.5,67.6,23.6,1.4,32.4,3456
Rusizi,Iburengerazuba,83.1,76.3,79.7,37.1,3.8,20.3,3012
