Akarere,Intara,Imyaka_0_4,Imyaka_5_14,Imyaka_15_24,Imyaka_25_34,Imyaka_35_44,Imyaka_45_54,Imyaka_55_64,Imyaka_65_hejuru,Abaturage_Bose
Gasabo,Kigali,89234,148234,167234,134234,98234,56234,32234,19769,745213
Kicukiro,Kigali,48234,81234,91234,73234,53234,30234,17234,13278,407382
Nyarugenge,Kigali,43234,72234,81234,65234,47234,27234,15234,13494,364897
Burera,Amajyaruguru,54234,87234,78234,58234,41234,23234,20234,17187,379821
Gakenke,Amajyaruguru,51234,82234,73234,54234,38234,21234,19234,18608,358012
Gicumbi,Amajyaruguru,60234,97234,86234,64234,45234,25234,22234,23897,424301
Musanze,Amajyaruguru,56234,91234,81234,60234,42234,23234,21234,22437,397841
Rulindo,Amajyaruguru,38234,61234,54234,40234,28234,15234,14234,15937,267341
Gisagara,Amajyepfo,48234,77234,69234,51234,36234,20234,17234,20827,340231
Huye,Amajyepfo,51234,82234,73234,54234,38234,21234,19234,19508,358912
Kamonyi,Amajyepfo,48234,77234,69234,51234,36234,20234,17234,22608,341012
Muhanga,Amajyepfo,49234,79234,71234,52234,37234,21234,17234,17097,344201
Nyamagabe,Amajyepfo,48234,77234,68234,50234,35234,19234,17234,22608,338012
Nyanza,Amajyepfo,48234,77234,68234,50234,35234,19234,17234,23828,339012
Nyaruguru,Amajyepfo,43234,69234,61234,45234,31234,17234,15234,19808,302412
Ruhango,Amajyepfo,49234,79234,70234,52234,36234,20234,17234,21608,345012
Bugesera,Iburasirazuba,65234,105234,93234,69234,48234,27234,23234,29608,461012
Gatsibo,Iburasirazuba,52234,84234,74234,55234,38234,21234,18234,24608,368012
Kayonza,Iburasirazuba,48234,77234,68234,50234,35234,19234,16234,27608,342012
Kirehe,Iburasirazuba,49234,79234,70234,52234,36234,20234,17234,23608,348012
Ngoma,Iburasirazuba,44234,71234,63234,46234,32234,18234,15234,23608,314012
Nyagatare,Iburasirazuba,67234,109234,96234,71234,50234,28234,24234,31608,478012
Rwamagana,Iburasirazuba,49234,79234,70234,52234,36234,20234,17234,21608,345012
Karongi,Iburengerazuba,48234,77234,68234,50234,35234,19234,17234,27608,342012
Ngororero,Iburengerazuba,48234,77234,68234,50234,35234,18234,16234,24608,338012
Nyabihu,Iburengerazuba,44234,71234,63234,46234,32234,18234,15234,22608,312012
Nyamasheke,Iburengerazuba,51234,82234,73234,54234,38234,21234,18234,19608,358012
Rubavu,Iburengerazuba,60234,97234,86234,64234,45234,25234,21234,29608,428012
Rutsiro,Iburengerazuba,44234,71234,63234,46234,32234,18234,15234,24608,314012
Rusizi,Iburengerazuba,59234,95234,84234,63234,44234,25234,21234,26608,418012
