Crop,Area_ha,Production_tonnes,Yield_kg_per_ha,Season,Province
Ibirayi,155420,2340800,15060,2021A,Amajyaruguru
Ibigori,118730,487300,4104,2021A,Amajyepfo
Ibishyimbo,96520,86870,900,2021A,Iburasirazuba
Ingano,82340,155440,1888,2021B,Amajyaruguru
Isogi,44810,83820,1871,2021B,Iburengerazuba
Uburo,38940,44780,1150,2021A,Amajyepfo
Inzuzi,22610,112800,4990,2021B,Iburasirazuba
Amatunda,17280,251640,14560,2021A,Amajyaruguru
Tomato,15340,368160,24000,2021B,Kigali
Indimu,9820,91730,9342,2021A,Iburengerazuba
