Akarere,Intara,PM25_ug_m3,PM10_ug_m3,NO2_mg_m3,Inzego_Gupima_Umwuka
Gasabo,Kigali,43.7,26.3,0.027,17
Kicukiro,Kigali,37.6,22.5,0.026,6
Nyarugenge,Kigali,50.2,12.3,0.07,15
Bugesera,Uburasirazuba,16.8,24.6,0.049,16
Gatsibo,Uburasirazuba,12.4,8.4,0.024,1
Kayonza,Uburasirazuba,21.7,21.2,0.036,19
Kirehe,Uburasirazuba,51.7,5.9,0.031,14
Ngoma,Uburasirazuba,31.8,16.3,0.061,17
Nyagatare,Uburasirazuba,15.6,7.2,0.062,4
Rwamagana,Uburasirazuba,17.6,16.7,0.026,17
Burera,Amajyaruguru,36.4,18.4,0.068,10
Gakenke,Amajyaruguru,35.7,14.6,0.015,15
Gicumbi,Amajyaruguru,40.5,25.4,0.012,13
Musanze,Amajyaruguru,40.6,14.1,0.045,19
Rulindo,Amajyaruguru,47.7,8.5,0.015,16
Gisagara,Amajyepfo,39.7,15.4,0.067,12
Huye,Amajyepfo,10.3,27.3,0.049,19
Kamonyi,Amajyepfo,24.6,21.8,0.054,19
Muhanga,Amajyepfo,35.6,9.9,0.013,13
Nyamagabe,Amajyepfo,24.5,6.3,0.014,19
Nyanza,Amajyepfo,27.2,14.2,0.021,19
Nyaruguru,Amajyepfo,48.9,7.1,0.061,4
Ruhango,Amajyepfo,45.1,11.6,0.055,13
Karongi,Uburengerazuba,15.4,16.3,0.036,16
Ngororero,Uburengerazuba,24.0,20.8,0.018,13
Nyabihu,Uburengerazuba,47.4,16.8,0.039,17
Nyamasheke,Uburengerazuba,31.4,18.0,0.035,15
Rubavu,Uburengerazuba,46.5,19.1,0.036,9
Rutsiro,Uburengerazuba,11.8,12.9,0.038,5
Rusizi,Uburengerazuba,40.9,8.6,0.04,12
