Akarere,Intara,Amashami_ya_Banki,Aho_Gukura_Amafaranga_ATM,Amasosiyete_Mpuzamashako,Amafaranga_Inguzanyo_Miliyoni_Frw,Uruhare_Abafite_Konti_%
Gasabo,Kigali,6,54,222,3053,0.38
Kicukiro,Kigali,2,68,18,2654,0.558
Nyarugenge,Kigali,2,48,18,2745,0.557
Bugesera,Uburasirazuba,13,84,220,1569,0.446
Gatsibo,Uburasirazuba,7,80,449,3690,0.548
Kayonza,Uburasirazuba,12,36,39,1653,0.426
Kirehe,Uburasirazuba,2,43,318,3285,0.538
Ngoma,Uburasirazuba,3,55,393,1315,0.5
Nyagatare,Uburasirazuba,14,35,283,2992,0.455
Rwamagana,Uburasirazuba,8,20,443,4312,0.523
Burera,Amajyaruguru,1,34,34,3649,0.425
Gakenke,Amajyaruguru,8,56,189,2787,0.376
Gicumbi,Amajyaruguru,8,84,419,4441,0.531
Musanze,Amajyaruguru,16,67,142,942,0.389
Rulindo,Amajyaruguru,9,53,387,2310,0.386
Gisagara,Amajyepfo,14,29,307,2505,0.535
Huye,Amajyepfo,3,42,65,3008,0.408
Kamonyi,Amajyepfo,4,68,301,475,0.447
Muhanga,Amajyepfo,13,17,419,4069,0.513
Nyamagabe,Amajyepfo,4,26,222,4046,0.385
Nyanza,Amajyepfo,3,49,330,479,0.498
Nyaruguru,Amajyepfo,15,84,348,2735,0.489
Ruhango,Amajyepfo,7,65,335,1766,0.488
Karongi,Uburengerazuba,10,77,366,1068,0.383
Ngororero,Uburengerazuba,2,11,337,4222,0.509
Nyabihu,Uburengerazuba,2,35,386,4296,0.475
Nyamasheke,Uburengerazuba,1,9,247,3824,0.556
Rubavu,Uburengerazuba,6,35,310,3600,0.464
Rutsiro,Uburengerazuba,11,23,186,2459,0.452
Rusizi,Uburengerazuba,3,85,379,2289,0.451
