Akarere,Intara,Abana_Bakoze_Akazi_Bikabije,Abana_Impfubyi,Abana_Bafunzwe,Abana_Biga_Amashuri_Abanza,Uruhare_Abana_Biga_%
Gasabo,Kigali,758,166,14,265,0.855
Kicukiro,Kigali,1730,178,75,1934,0.878
Nyarugenge,Kigali,1081,198,66,1208,0.838
Bugesera,Uburasirazuba,1780,82,75,777,0.859
Gatsibo,Uburasirazuba,1828,334,23,3582,0.893
Kayonza,Uburasirazuba,196,282,37,3681,0.899
Kirehe,Uburasirazuba,443,365,9,1120,0.855
Ngoma,Uburasirazuba,542,440,86,4552,0.898
Nyagatare,Uburasirazuba,1795,235,73,4572,0.807
Rwamagana,Uburasirazuba,867,467,52,304,0.86
Burera,Amajyaruguru,1408,81,9,2917,0.879
Gakenke,Amajyaruguru,1402,375,42,3486,0.887
Gicumbi,Amajyaruguru,1944,99,76,2043,0.878
Musanze,Amajyaruguru,831,150,22,968,0.822
Rulindo,Amajyaruguru,1408,441,80,2386,0.871
Gisagara,Amajyepfo,1073,165,25,3599,0.855
Huye,Amajyepfo,383,41,27,387,0.815
Kamonyi,Amajyepfo,1773,465,30,3994,0.864
Muhanga,Amajyepfo,535,415,55,206,0.835
Nyamagabe,Amajyepfo,1230,197,12,3586,0.855
Nyanza,Amajyepfo,1458,216,63,1758,0.806
Nyaruguru,Amajyepfo,1641,415,25,4833,0.818
Ruhango,Amajyepfo,1944,277,97,3935,0.878
Karongi,Uburengerazuba,257,377,41,3338,0.887
Ngororero,Uburengerazuba,1286,284,82,1259,0.827
Nyabihu,Uburengerazuba,1184,407,76,947,0.823
Nyamasheke,Uburengerazuba,1466,196,90,649,0.818
Rubavu,Uburengerazuba,410,433,22,2554,0.873
Rutsiro,Uburengerazuba,1312,30,20,1053,0.839
Rusizi,Uburengerazuba,1235,53,11,1377,0.891
