Akarere,Intara,Ibyaha_Byose,Kwiba,Gukomeretsa,Ibyaha_byo_Gukoresha_Ingufu,Ibyaha_by_Imodoka,Ibyaha_bya_Kijamii
Gasabo,Kigali,347,8,46,19,191,460
Kicukiro,Kigali,460,86,18,8,28,671
Nyarugenge,Kigali,207,78,37,22,121,235
Bugesera,Uburasirazuba,181,70,10,16,137,840
Gatsibo,Uburasirazuba,25,14,6,13,51,319
Kayonza,Uburasirazuba,112,7,6,28,134,843
Kirehe,Uburasirazuba,476,65,35,4,172,173
Ngoma,Uburasirazuba,335,90,29,29,180,710
Nyagatare,Uburasirazuba,141,49,46,19,185,312
Rwamagana,Uburasirazuba,224,90,38,10,40,120
Burera,Amajyaruguru,393,41,17,2,191,301
Gakenke,Amajyaruguru,231,51,46,18,43,517
Gicumbi,Amajyaruguru,89,78,12,19,183,729
Musanze,Amajyaruguru,69,11,29,8,94,901
Rulindo,Amajyaruguru,91,65,46,20,60,715
Gisagara,Amajyepfo,454,59,26,28,103,464
Huye,Amajyepfo,425,79,39,16,10,956
Kamonyi,Amajyepfo,412,50,29,28,78,697
Muhanga,Amajyepfo,212,65,48,3,111,962
Nyamagabe,Amajyepfo,58,48,38,19,43,87
Nyanza,Amajyepfo,204,23,35,26,129,391
Nyaruguru,Amajyepfo,60,65,37,5,46,733
Ruhango,Amajyepfo,304,51,5,16,68,557
Karongi,Uburengerazuba,420,47,49,2,20,798
Ngororero,Uburengerazuba,40,16,40,20,97,694
Nyabihu,Uburengerazuba,439,19,29,27,17,184
Nyamasheke,Uburengerazuba,333,49,46,2,143,174
Rubavu,Uburengerazuba,102,9,16,24,96,212
Rutsiro,Uburengerazuba,303,82,7,15,161,259
Rusizi,Uburengerazuba,406,45,40,29,138,358
