Inganda,Umwaka,Igihe,Akarere,Intara,Ubutaka_ha,Umusaruro_toni,Umusaruro_kg_ha,Igiciro_Frw_kg
Ibigori,2022,A,Nyagatare,Iburasirazuba,12450,62250,5000,280
Ibigori,2022,A,Gatsibo,Iburasirazuba,9870,46389,4700,280
Ibigori,2022,A,Kayonza,Iburasirazuba,8340,38364,4600,280
Ibigori,2022,B,Nyagatare,Iburasirazuba,11200,53760,4800,310
Ibigori,2022,B,Gatsibo,Iburasirazuba,8900,41030,4610,310
Ibishyimbo,2022,A,Huye,Amajyepfo,6780,13560,2000,850
Ibishyimbo,2022,A,Muhanga,Amajyepfo,5430,10860,2000,850
Ibishyimbo,2022,A,Gisagara,Amajyepfo,5120,9728,1900,850
Ibishyimbo,2022,B,Huye,Amajyepfo,5900,11800,2000,900
Ibishyimbo,2022,B,Muhanga,Amajyepfo,4800,9120,1900,900
Amasaka,2022,A,Musanze,Amajyaruguru,3450,20700,6000,420
Amasaka,2022,A,Burera,Amajyaruguru,2980,17284,5800,420
Amasaka,2022,A,Gicumbi,Amajyaruguru,3120,18096,5800,420
Amasaka,2022,B,Musanze,Amajyaruguru,3200,19200,6000,450
Ibijumba,2022,A,Ngoma,Iburasirazuba,2340,11700,5000,380
Ibijumba,2022,A,Rwamagana,Iburasirazuba,2100,10080,4800,380
Ibijumba,2022,B,Ngoma,Iburasirazuba,2200,10560,4800,410
Ibiraya,2022,A,Nyagatare,Iburasirazuba,4560,18240,4000,520
Ibiraya,2022,A,Bugesera,Iburasirazuba,3890,15560,4000,520
Ibiraya,2022,B,Nyagatare,Iburasirazuba,4200,16800,4000,550
Icyayi,2022,A,Nyamasheke,Iburengerazuba,8920,22300,2500,1200
Icyayi,2022,A,Karongi,Iburengerazuba,7840,19600,2500,1200
Icyayi,2022,A,Rutsiro,Iburengerazuba,6780,16950,2500,1200
Icyayi,2022,B,Nyamasheke,Iburengerazuba,8500,21250,2500,1250
Ikawa,2022,A,Nyamasheke,Iburengerazuba,4560,13680,3000,2800
Ikawa,2022,A,Gakenke,Amajyaruguru,3890,11670,3000,2800
Ikawa,2022,A,Rulindo,Amajyaruguru,3120,9360,3000,2800
Ikawa,2022,B,Nyamasheke,Iburengerazuba,4200,12600,3000,3000
Ibirayi,2022,A,Musanze,Amajyaruguru,5670,39690,7000,320
Ibirayi,2022,A,Burera,Amajyaruguru,4890,34230,7000,320
Ibirayi,2022,B,Musanze,Amajyaruguru,5200,36400,7000,350
