Akarere,Intara,Uruhare_Mobile_Money_%,Umubare_Konti_Mobile_Money,Amafaranga_Koherezwa_Ku_Munsi_Frw,Uruhare_E_Commerce_%
Gasabo,Kigali,0.869,172436,43907,0.68
Kicukiro,Kigali,0.879,27676,4985,0.773
Nyarugenge,Kigali,0.586,204989,97495,0.421
Bugesera,Uburasirazuba,0.656,122702,154709,0.461
Gatsibo,Uburasirazuba,0.645,70584,157026,0.645
Kayonza,Uburasirazuba,0.596,372857,54729,0.388
Kirehe,Uburasirazuba,0.576,363835,152714,0.537
Ngoma,Uburasirazuba,0.555,416823,121369,0.418
Nyagatare,Uburasirazuba,0.808,398383,39662,0.623
Rwamagana,Uburasirazuba,0.659,168626,102958,0.361
Burera,Amajyaruguru,0.646,109306,53589,0.645
Gakenke,Amajyaruguru,0.715,152706,19519,0.785
Gicumbi,Amajyaruguru,0.746,246841,181625,0.59
Musanze,Amajyaruguru,0.636,18434,99909,0.527
Rulindo,Amajyaruguru,0.68,277824,22552,0.451
Gisagara,Amajyepfo,0.891,204700,47190,0.516
Huye,Amajyepfo,0.747,324981,67154,0.714
Kamonyi,Amajyepfo,0.892,56740,34681,0.739
Muhanga,Amajyepfo,0.721,132484,29124,0.627
Nyamagabe,Amajyepfo,0.716,364285,113761,0.455
Nyanza,Amajyepfo,0.819,133491,62979,0.502
Nyaruguru,Amajyepfo,0.603,167507,113497,0.533
Ruhango,Amajyepfo,0.552,348294,151252,0.708
Karongi,Uburengerazuba,0.741,163377,130749,0.495
Ngororero,Uburengerazuba,0.798,262071,171871,0.797
Nyabihu,Uburengerazuba,0.579,61471,140151,0.519
Nyamasheke,Uburengerazuba,0.815,89425,149881,0.425
Rubavu,Uburengerazuba,0.703,486238,8773,0.541
Rutsiro,Uburengerazuba,0.61,403545,97951,0.687
Rusizi,Uburengerazuba,0.741,205708,60053,0.546
