Akarere,Intara,Ubuso_km2,Abaturage,Inzu,Umubare_Abagabo,Umubare_Abagore,Ubucucike_km2
Gasabo,Kigali,3675,481382,115531,235877,245504,2773
Kicukiro,Kigali,1954,87878,21090,43060,44817,2849
Nyarugenge,Kigali,3130,247882,59491,121462,126419,4336
Bugesera,Uburasirazuba,3552,212481,50995,104115,108365,419
Gatsibo,Uburasirazuba,1518,531182,127483,260279,270902,583
Kayonza,Uburasirazuba,594,493821,118517,241972,251848,1534
Kirehe,Uburasirazuba,1887,639134,153392,313175,325958,1976
Ngoma,Uburasirazuba,1408,124025,29766,60772,63252,4695
Nyagatare,Uburasirazuba,3084,339728,81534,166466,173261,1021
Rwamagana,Uburasirazuba,900,90096,21623,44147,45948,2021
Burera,Amajyaruguru,3235,213019,51124,104379,108639,2873
Gakenke,Amajyaruguru,4229,393476,94434,192803,200672,3924
Gicumbi,Amajyaruguru,257,86267,20704,42270,43996,1714
Musanze,Amajyaruguru,1133,194558,46693,95333,99224,4725
Rulindo,Amajyaruguru,1641,489424,117461,239817,249606,3346
Gisagara,Amajyepfo,4581,413938,99345,202829,211108,2402
Huye,Amajyepfo,1308,208095,49942,101966,106128,2894
Kamonyi,Amajyepfo,2964,439547,105491,215378,224168,4509
Muhanga,Amajyepfo,1174,580907,139417,284644,296262,4988
Nyamagabe,Amajyepfo,545,74545,17890,36527,38017,426
Nyanza,Amajyepfo,3174,571895,137254,280228,291666,4001
Nyaruguru,Amajyepfo,411,511144,122674,250460,260683,2031
Ruhango,Amajyepfo,2692,291657,69997,142911,148745,4861
Karongi,Uburengerazuba,156,171349,41123,83961,87387,3659
Ngororero,Uburengerazuba,2731,681809,163634,334086,347722,1480
Nyabihu,Uburengerazuba,646,285265,68463,139779,145485,2286
Nyamasheke,Uburengerazuba,4773,128924,30941,63172,65751,4404
Rubavu,Uburengerazuba,2552,130432,31303,63911,66520,1057
Rutsiro,Uburengerazuba,4365,617396,148175,302524,314871,1632
Rusizi,Uburengerazuba,3083,455437,109304,223164,232272,933
