Akarere,Intara,Ubuso_km2,Abaturage_2022,Inzu,Umubare_Abagabo,Umubare_Abagore,Ubucucike_km2
Gasabo,Kigali,167,745213,184320,362104,383109,4462
Kicukiro,Kigali,167,407382,98741,196847,210535,2440
Nyarugenge,Kigali,96,364897,89012,175401,189496,3801
Burera,Amajyaruguru,645,379821,76234,183012,196809,589
Gakenke,Amajyaruguru,748,358012,71203,171892,186120,479
Gicumbi,Amajyaruguru,815,424301,86012,203104,221197,521
Musanze,Amajyaruguru,497,397841,80431,191203,206638,800
Rulindo,Amajyaruguru,568,267341,54012,128012,139329,471
Gisagara,Amajyepfo,717,340231,68741,163012,177219,475
Huye,Amajyepfo,583,358912,72341,172012,186900,616
Kamonyi,Amajyepfo,476,341012,68012,163912,177100,716
Muhanga,Amajyepfo,497,344201,69012,165412,178789,692
Nyamagabe,Amajyepfo,1011,338012,68012,162412,175600,334
Nyanza,Amajyepfo,577,339012,67831,163012,176000,588
Nyaruguru,Amajyepfo,1173,302412,60712,145212,157200,258
Ruhango,Amajyepfo,665,345012,69412,165812,179200,519
Bugesera,Iburasirazuba,1336,461012,92012,221812,239200,345
Gatsibo,Iburasirazuba,1530,368012,73612,176812,191200,241
Kayonza,Iburasirazuba,1876,342012,68412,164412,177600,182
Kirehe,Iburasirazuba,1553,348012,69612,167212,180800,224
Ngoma,Iburasirazuba,952,314012,62812,150812,163200,330
Nyagatare,Iburasirazuba,3503,478012,95612,229612,248400,136
Rwamagana,Iburasirazuba,483,345012,69012,165812,179200,714
Karongi,Iburengerazuba,1261,342012,68412,164412,177600,271
Ngororero,Iburengerazuba,695,338012,67612,162412,175600,486
Nyabihu,Iburengerazuba,563,312012,62412,149812,162200,554
Nyamasheke,Iburengerazuba,1591,358012,71612,172012,186000,225
Rubavu,Iburengerazuba,425,428012,85612,205612,222400,1007
Rutsiro,Iburengerazuba,1296,314012,62812,150812,163200,242
Rusizi,Iburengerazuba,1567,418012,83612,200812,217200,267
