Akarere,Intara,Uruhare_Amashanyarazi_%,Inzu_Zifite_Amashanyarazi,Amashanyarazi_Solar,Amashanyarazi_Grid
Gasabo,Kigali,0.569,5984,31,6
Kicukiro,Kigali,0.629,5450,31,6
Nyarugenge,Kigali,0.569,2395,43,3
Bugesera,Uburasirazuba,0.618,4207,34,3
Gatsibo,Uburasirazuba,0.635,3181,43,2
Kayonza,Uburasirazuba,0.585,1668,15,1
Kirehe,Uburasirazuba,0.614,6287,15,2
Ngoma,Uburasirazuba,0.608,6017,58,4
Nyagatare,Uburasirazuba,0.588,1523,15,2
Rwamagana,Uburasirazuba,0.578,901,34,2
Burera,Amajyaruguru,0.657,4784,43,1
Gakenke,Amajyaruguru,0.647,4334,52,5
Gicumbi,Amajyaruguru,0.607,3971,15,1
Musanze,Amajyaruguru,0.654,4239,50,3
Rulindo,Amajyaruguru,0.567,5332,7,2
Gisagara,Amajyepfo,0.616,2987,59,1
Huye,Amajyepfo,0.636,5165,48,2
Kamonyi,Amajyepfo,0.612,4043,29,7
Muhanga,Amajyepfo,0.659,2998,39,5
Nyamagabe,Amajyepfo,0.634,7622,16,2
Nyanza,Amajyepfo,0.626,1930,14,1
Nyaruguru,Amajyepfo,0.56,4043,37,3
Ruhango,Amajyepfo,0.583,5890,43,4
Karongi,Uburengerazuba,0.629,7452,48,5
Ngororero,Uburengerazuba,0.626,7522,28,4
Nyabihu,Uburengerazuba,0.625,7340,50,1
Nyamasheke,Uburengerazuba,0.577,3014,46,4
Rubavu,Uburengerazuba,0.589,1695,42,5
Rutsiro,Uburengerazuba,0.654,4403,32,1
Rusizi,Uburengerazuba,0.564,3910,22,2
