Akarere,Intara,Amashanyarazi_Igiti_%,Amashanyarazi_Izuba_%,Ubundi_Buryo_%,Bose_%,Inzu_Zifite,Inzu_Zose,MW_Isoko
Gasabo,Kigali,94.2,2.1,0.8,97.1,178934,184320,87.4
Kicukiro,Kigali,93.7,2.3,0.9,96.9,95612,98741,43.2
Nyarugenge,Kigali,93.4,2.0,0.7,96.1,85412,89012,38.9
Burera,Amajyaruguru,52.3,12.4,3.2,67.9,51734,76234,18.4
Gakenke,Amajyaruguru,49.8,11.8,3.0,64.6,45934,71203,16.7
Gicumbi,Amajyaruguru,54.6,13.1,3.4,71.1,61034,86012,20.3
Musanze,Amajyaruguru,67.2,8.9,2.4,78.5,63234,80431,26.8
Rulindo,Amajyaruguru,48.7,11.4,2.9,63.0,34034,54012,14.2
Gisagara,Amajyepfo,44.3,10.6,2.7,57.6,39534,68741,13.9
Huye,Amajyepfo,58.9,7.8,2.2,68.9,50034,72341,19.8
Kamonyi,Amajyepfo,51.4,12.2,3.1,66.7,45234,68012,17.4
Muhanga,Amajyepfo,53.8,12.8,3.3,69.9,46634,69012,18.1
Nyamagabe,Amajyepfo,43.7,10.4,2.6,56.7,38534,68012,13.6
Nyanza,Amajyepfo,50.2,11.9,3.0,65.1,44134,67831,16.9
Nyaruguru,Amajyepfo,41.8,9.9,2.5,54.2,32934,60712,12.8
Ruhango,Amajyepfo,50.9,12.1,3.1,66.1,45734,69412,17.2
Bugesera,Iburasirazuba,56.7,13.5,3.5,73.7,67734,92012,22.1
Gatsibo,Iburasirazuba,48.4,11.5,2.9,62.8,46234,73612,16.4
Kayonza,Iburasirazuba,47.6,11.3,2.8,61.7,42134,68412,15.8
Kirehe,Iburasirazuba,47.9,11.4,2.9,62.2,43234,69612,16.1
Ngoma,Iburasirazuba,51.6,12.3,3.1,67.0,42134,62812,17.5
Nyagatare,Iburasirazuba,58.3,13.9,3.6,75.8,72534,95612,23.7
Rwamagana,Iburasirazuba,57.4,7.6,2.1,67.1,46534,69012,20.6
Karongi,Iburengerazuba,46.8,11.1,2.8,60.7,41534,68412,15.6
Ngororero,Iburengerazuba,45.9,10.9,2.7,59.5,40234,67612,15.1
Nyabihu,Iburengerazuba,47.3,11.2,2.8,61.3,38234,62412,15.7
Nyamasheke,Iburengerazuba,45.2,10.7,2.7,58.6,41934,71612,15.0
Rubavu,Iburengerazuba,71.8,5.4,1.9,79.1,67734,85612,31.2
Rutsiro,Iburengerazuba,42.1,10.0,2.5,54.6,34234,62812,13.0
Rusizi,Iburengerazuba,65.4,7.2,2.0,74.6,62334,83612,27.9
