Isoko_ry_Ingufu,Ubwoko,Intara,MW_Ushobora,MW_Umusaruro,Isoko_kw_Ingufu_%,Umushinga,Umwaka_Wabanguwe
Rukarara,Amashanyarazi y'amazi,Amajyepfo,9.5,8.2,1.9,EUCL,2011
Mururu,Amashanyarazi y'amazi,Iburengerazuba,2.2,1.8,0.4,EUCL,2012
Nyabarongo I,Amashanyarazi y'amazi,Kigali/Amajyepfo,28.0,24.3,5.6,EUCL,2014
Nyabarongo II,Amashanyarazi y'amazi,Kigali/Amajyaruguru,43.5,38.7,9.0,EUCL,2023
Ntaruka,Amashanyarazi y'amazi,Amajyaruguru,11.25,9.8,2.3,EUCL,1959
Mukungwa I,Amashanyarazi y'amazi,Amajyaruguru,12.0,10.4,2.4,EUCL,1982
Mukungwa II,Amashanyarazi y'amazi,Amajyaruguru,2.2,1.9,0.4,EUCL,2012
Gihira,Amashanyarazi y'amazi,Amajyaruguru,1.5,1.3,0.3,EUCL,2011
Birembo,Amashanyarazi y'amazi,Amajyaruguru,0.4,0.3,0.1,EUCL,2013
Lake Kivu Methane,Gaze ya metani,Iburengerazuba,56.0,48.7,11.3,KivuWatt,2015
Gigawatt Solar,Izuba,Kigali,8.5,7.2,1.7,Gigawatt,2014
Agahozo Solar,Izuba,Iburasirazuba,8.5,7.4,1.7,Gigawatt,2014
Ruzizi III,Amashanyarazi y'amazi,Iburengerazuba,147.0,0.0,0.0,SINELAC,Mu rwego rwo kubaka
Hakan Thermal,Mazutu,Kigali,40.0,34.8,8.1,Hakan,2009
Symbion Power,Mazutu,Kigali,50.0,43.5,10.1,Symbion,2012
Jali Solar,Izuba,Kigali,5.0,4.3,1.0,EUCL,2020
Peat Hakan,Butare,Amajyepfo,15.0,13.1,3.0,Hakan,2016
