Akarere,Intara,Uruhare_Ubutaka_Bwangiritse_%,Ubuso_Erosion_ha,Ubuso_Bakoze_Gutunga_ha,Imitima_yo_Gutunga_Ubutaka,Uruhare_Batunga_%
Gasabo,Kigali,0.265,2970,2208,10190,0.712
Kicukiro,Kigali,0.326,6739,2702,6103,0.512
Nyarugenge,Kigali,0.399,3276,1168,14986,0.523
Bugesera,Uburasirazuba,0.345,848,1717,1811,0.7
Gatsibo,Uburasirazuba,0.216,1756,3988,13204,0.575
Kayonza,Uburasirazuba,0.331,3519,2722,4401,0.601
Kirehe,Uburasirazuba,0.269,3680,3829,4021,0.505
Ngoma,Uburasirazuba,0.296,6915,2905,4652,0.741
Nyagatare,Uburasirazuba,0.31,3791,4688,10888,0.654
Rwamagana,Uburasirazuba,0.319,3526,2852,12721,0.631
Burera,Amajyaruguru,0.177,1267,794,13863,0.575
Gakenke,Amajyaruguru,0.202,2617,4159,1756,0.551
Gicumbi,Amajyaruguru,0.194,6607,3247,5500,0.65
Musanze,Amajyaruguru,0.192,997,999,5288,0.707
Rulindo,Amajyaruguru,0.212,4522,2208,13114,0.509
Gisagara,Amajyepfo,0.106,1177,1329,16168,0.665
Huye,Amajyepfo,0.112,6834,4820,9973,0.505
Kamonyi,Amajyepfo,0.351,763,3027,17409,0.725
Muhanga,Amajyepfo,0.192,2971,3304,2260,0.736
Nyamagabe,Amajyepfo,0.303,1210,604,14822,0.733
Nyanza,Amajyepfo,0.233,6648,4750,18665,0.563
Nyaruguru,Amajyepfo,0.36,1980,655,16230,0.582
Ruhango,Amajyepfo,0.255,3180,3754,5100,0.606
Karongi,Uburengerazuba,0.1,1483,4851,9069,0.564
Ngororero,Uburengerazuba,0.256,3973,1904,18999,0.579
Nyabihu,Uburengerazuba,0.198,5493,4818,17648,0.734
Nyamasheke,Uburengerazuba,0.177,5753,4115,910,0.742
Rubavu,Uburengerazuba,0.262,6747,3328,18846,0.673
Rutsiro,Uburengerazuba,0.326,1993,2786,6530,0.74
Rusizi,Uburengerazuba,0.177,6516,654,17405,0.714
