Ibicuruzwa,Icyiciro,Umubare_Toni,Agaciro_MUSD,Impinduka_%_2021,Intara_Nyamukuru,Ibihugu_Bishorerwamo
Ikawa,Ubuhinzi,27834,183.4,+12.3,Amajyepfo/Iburengerazuba,UAE/Germany/Belgium
Icyayi,Ubuhinzi,24120,56.7,+8.7,Iburengerazuba,UK/Pakistan/Rwanda Diaspora
Tungsten,Ibimanika,2341,98.2,+15.6,Amajyaruguru,Germany/Netherlands
Coltan,Ibimanika,1234,187.4,+22.1,Amajyaruguru/Iburasirazuba,Germany/UK/China
Cassiterite,Ibimanika,3456,67.3,+9.8,Amajyaruguru,Belgium/Malaysia
Zhabu,Ibimanika,167 kg,34.8,+18.4,Amajyaruguru,Switzerland/Dubai
Inyama y'inzuki,Ubuhinzi,892,12.3,+31.2,Iburengerazuba,EU/Middle East
Uburo,Ubuhinzi,45234,38.9,+4.2,Iburasirazuba,Uganda/DRC/Burundi
Ibishyimbo,Ubuhinzi,34567,28.4,+6.7,Amajyepfo,Uganda/DRC
Ubwoko bwa plastike,Inganda,8934,45.6,+23.4,Kigali,DRC/Uganda/Tanzania
Inzoga z'imbuye,Inganda,12340 hl,18.9,+14.2,Kigali,Rwanda Diaspora/East Africa
Inshuti z'amafi,Inganda,2340,34.7,+19.8,Iburasirazuba,DRC/Uganda
Ibikorei bya simu,Ikoranabuhanga,4567,112.3,+67.4,Kigali,Africa/Europe
Serivisi za IT,Ikoranabuhanga,-,234.8,+34.1,Kigali,Global
Ubukerarugendo,Serivisi,-,498.3,-12.4,Kigali/Amajyaruguru,Global
