Akarere,Intara,Imiti_yo_Guhingura_Toni,Imiti_Iterambere_Toni,Imiti_Isanzure_Toni,Uruhare_Abahinzi_Bakoresha_Imiti_%,Sosiyete_z_Imiti
Gasabo,Kigali,16734,1809,3786,0.3,136
Kicukiro,Kigali,10521,6083,4545,0.456,199
Nyarugenge,Kigali,2777,9800,1997,0.381,25
Bugesera,Uburasirazuba,4269,6196,4135,0.629,14
Gatsibo,Uburasirazuba,18934,3876,374,0.559,25
Kayonza,Uburasirazuba,12782,916,3714,0.322,87
Kirehe,Uburasirazuba,3955,6369,1059,0.533,94
Ngoma,Uburasirazuba,8517,1607,3676,0.388,63
Nyagatare,Uburasirazuba,827,5053,2269,0.413,40
Rwamagana,Uburasirazuba,14429,4600,784,0.461,173
Burera,Amajyaruguru,13592,6043,1788,0.522,27
Gakenke,Amajyaruguru,17512,7304,4147,0.669,185
Gicumbi,Amajyaruguru,19648,5741,4669,0.327,157
Musanze,Amajyaruguru,943,9378,3405,0.405,194
Rulindo,Amajyaruguru,4369,4647,537,0.353,186
Gisagara,Amajyepfo,7478,9319,1092,0.666,86
Huye,Amajyepfo,9610,9286,2374,0.382,199
Kamonyi,Amajyepfo,18198,6844,485,0.365,82
Muhanga,Amajyepfo,4767,4334,4143,0.692,70
Nyamagabe,Amajyepfo,9620,5551,4884,0.45,46
Nyanza,Amajyepfo,9226,8935,2771,0.423,122
Nyaruguru,Amajyepfo,14656,1853,2936,0.319,174
Ruhango,Amajyepfo,6233,621,4105,0.472,64
Karongi,Uburengerazuba,1531,4627,3442,0.633,85
Ngororero,Uburengerazuba,10916,9291,4534,0.596,104
Nyabihu,Uburengerazuba,10511,9168,468,0.634,131
Nyamasheke,Uburengerazuba,17624,8963,2986,0.631,29
Rubavu,Uburengerazuba,4271,5290,4871,0.369,113
Rutsiro,Uburengerazuba,14823,5014,3683,0.543,54
Rusizi,Uburengerazuba,8807,8298,4386,0.516,176
