Akarere,Intara,Mfumbire_Toni,Mfumbire_ha,Irigisho_ha,Irigisho_%_Ubutaka,Intego_Irigisho_ha,Igera_Intego_%
Gasabo,Kigali,1234,5712,890,15.4,950,93.7
Kicukiro,Kigali,987,4567,712,12.3,780,91.3
Nyarugenge,Kigali,845,3912,634,10.9,700,90.6
Burera,Amajyaruguru,4234,31123,2340,7.4,2800,83.6
Gakenke,Amajyaruguru,3987,38978,2156,6.8,2600,83.0
Gicumbi,Amajyaruguru,4567,43756,2534,7.9,3000,84.5
Musanze,Amajyaruguru,4123,22789,3456,15.2,3800,90.9
Rulindo,Amajyaruguru,2987,30823,1678,5.9,2000,83.9
Gisagara,Amajyepfo,3456,41445,1890,5.3,2200,85.9
Huye,Amajyepfo,3789,31998,2234,7.7,2600,85.9
Kamonyi,Amajyepfo,3234,27735,1956,8.2,2300,85.0
Muhanga,Amajyepfo,3345,28567,2012,8.1,2350,85.6
Nyamagabe,Amajyepfo,3567,51845,1834,3.6,2200,83.4
Nyanza,Amajyepfo,3234,31945,1912,8.0,2250,85.0
Nyaruguru,Amajyepfo,3012,57122,1678,2.9,2000,83.9
Ruhango,Amajyepfo,3289,37321,1956,7.8,2300,85.0
Bugesera,Iburasirazuba,4012,66503,3234,12.1,3600,89.8
Gatsibo,Iburasirazuba,3567,80220,2456,8.0,2900,84.7
Kayonza,Iburasirazuba,3345,91349,2234,6.3,2700,82.7
Kirehe,Iburasirazuba,3456,79639,2312,7.3,2750,84.1
Ngoma,Iburasirazuba,3123,50596,2012,8.0,2400,83.8
Nyagatare,Iburasirazuba,5234,163940,4234,6.5,4800,88.2
Rwamagana,Iburasirazuba,3234,26416,2456,15.2,2700,91.0
Karongi,Iburengerazuba,3345,59688,2234,7.5,2700,82.7
Ngororero,Iburengerazuba,3123,36694,1956,7.4,2300,85.0
Nyabihu,Iburengerazuba,2987,27810,1834,10.3,2200,83.4
Nyamasheke,Iburengerazuba,3456,82268,2312,7.1,2750,84.1
Rubavu,Iburengerazuba,2345,18785,1678,12.0,1900,88.3
Rutsiro,Iburengerazuba,3012,65059,1712,5.4,2100,81.5
Rusizi,Iburengerazuba,3789,76626,2890,12.0,3200,90.3
