Akarere,Intara,Ubuso_Ishyamba_ha,Uruhare_Ishyamba_%,Ishyamba_rya_Leta_ha,Ishyamba_ryigenga_ha,Ishoramari_Vuba_ha
Gasabo,Kigali,26017,0.175,6565,2618,9449
Kicukiro,Kigali,34569,0.195,12972,4715,3084
Nyarugenge,Kigali,16341,0.171,14882,3302,1311
Bugesera,Uburasirazuba,34418,0.235,1842,634,10678
Gatsibo,Uburasirazuba,23331,0.136,6899,4774,7120
Kayonza,Uburasirazuba,25342,0.123,5041,4529,5167
Kirehe,Uburasirazuba,21627,0.262,9015,8761,9912
Ngoma,Uburasirazuba,7698,0.053,12916,1234,8498
Nyagatare,Uburasirazuba,41560,0.051,4142,4302,8995
Rwamagana,Uburasirazuba,45365,0.116,17152,5446,4992
Burera,Amajyaruguru,6592,0.169,1108,1447,4551
Gakenke,Amajyaruguru,47577,0.099,8952,7137,1834
Gicumbi,Amajyaruguru,28671,0.033,16138,8010,2704
Musanze,Amajyaruguru,39480,0.147,2552,3189,10464
Rulindo,Amajyaruguru,20567,0.169,10357,8110,9408
Gisagara,Amajyepfo,23283,0.207,11060,6876,6131
Huye,Amajyepfo,22610,0.137,8303,7807,4003
Kamonyi,Amajyepfo,38571,0.193,7609,2156,4835
Muhanga,Amajyepfo,26380,0.269,16064,6644,7804
Nyamagabe,Amajyepfo,41686,0.204,10467,7181,8532
Nyanza,Amajyepfo,27325,0.052,10244,1796,7481
Nyaruguru,Amajyepfo,28069,0.034,10436,1769,5788
Ruhango,Amajyepfo,43142,0.051,16876,1683,374
Karongi,Uburengerazuba,37956,0.084,12818,7997,5414
Ngororero,Uburengerazuba,38905,0.178,7471,481,10364
Nyabihu,Uburengerazuba,1995,0.134,7702,7748,3910
Nyamasheke,Uburengerazuba,13013,0.05,2148,1579,1856
Rubavu,Uburengerazuba,12936,0.043,5799,3712,2154
Rutsiro,Uburengerazuba,29841,0.105,878,601,4770
Rusizi,Uburengerazuba,15973,0.127,6106,3429,9958
