Akarere,Intara,Ibyaha_byo_Gukoresha_Ingufu_Abagore,Ibyaha_byo_Gukoresha_Ingufu_Abana,Ubusambanyi,Abagore_Barongeye_Inkunga,Inzu_z_Ubutabazi
Gasabo,Kigali,284,80,39,2011,5
Kicukiro,Kigali,177,105,27,2959,4
Nyarugenge,Kigali,166,35,6,2477,3
Bugesera,Uburasirazuba,64,48,41,2876,6
Gatsibo,Uburasirazuba,72,57,8,1904,1
Kayonza,Uburasirazuba,83,60,45,1260,1
Kirehe,Uburasirazuba,83,66,35,1654,1
Ngoma,Uburasirazuba,222,149,35,658,4
Nyagatare,Uburasirazuba,200,123,31,1317,2
Rwamagana,Uburasirazuba,297,67,3,1850,1
Burera,Amajyaruguru,46,20,28,291,6
Gakenke,Amajyaruguru,115,53,15,2619,3
Gicumbi,Amajyaruguru,12,59,48,1198,1
Musanze,Amajyaruguru,278,30,36,988,8
Rulindo,Amajyaruguru,151,81,35,2609,5
Gisagara,Amajyepfo,186,135,10,2844,4
Huye,Amajyepfo,110,112,48,1641,6
Kamonyi,Amajyepfo,256,74,8,127,5
Muhanga,Amajyepfo,55,23,20,2232,1
Nyamagabe,Amajyepfo,220,146,35,822,6
Nyanza,Amajyepfo,214,31,49,2415,5
Nyaruguru,Amajyepfo,89,67,47,2656,8
Ruhango,Amajyepfo,98,129,47,1278,3
Karongi,Uburengerazuba,36,16,37,2840,2
Ngororero,Uburengerazuba,26,112,28,1529,8
Nyabihu,Uburengerazuba,289,66,26,2219,5
Nyamasheke,Uburengerazuba,159,149,44,2123,4
Rubavu,Uburengerazuba,188,137,37,2171,7
Rutsiro,Uburengerazuba,227,40,37,2857,8
Rusizi,Uburengerazuba,265,81,31,1861,9
