Umwaka,Igice,Umusaruro_Miliyari_Frw,Impinduka_%,Uruhare_GDP_%,Imirimo_Bihumbi,Ishoramari_Miliyari_Frw
2022,Ubuhinzi,3234.5,4.2,25.8,2312,567.8
2022,Inganda,1456.8,8.7,11.6,234,789.4
2022,Serivisi,7834.2,9.4,62.6,1234,1234.6
2021,Ubuhinzi,3104.1,3.8,26.4,2289,534.2
2021,Inganda,1340.2,6.2,11.4,218,712.3
2021,Serivisi,7154.3,7.1,60.8,1189,1123.4
2020,Ubuhinzi,2990.3,-1.2,27.8,2267,498.7
2020,Inganda,1262.4,-4.7,11.7,198,634.8
2020,Serivisi,6679.1,-3.4,62.1,1123,978.3
2019,Ubuhinzi,3027.2,5.3,25.4,2234,512.3
2019,Inganda,1323.8,9.4,11.1,234,698.4
2019,Serivisi,6902.3,10.7,57.9,1178,1098.7
2018,Ubuhinzi,2875.4,4.8,26.1,2189,478.9
2018,Inganda,1209.3,8.1,11.0,212,645.3
2018,Serivisi,6231.4,9.8,56.6,1123,987.4
