Izina,Ubwoko,Akarere,Intara,Inzu_z'Abarwayi,Abaganga,Infirmiyeri,Abaserukira_2022,Umudendezo_km
Kigali University Teaching Hospital,Ibitaro bya Leta,Gasabo,Kigali,600,247,812,412341,2
King Faisal Hospital,Ibitaro bya Kigendera,Kicukiro,Kigali,200,98,312,187234,4
Rwanda Military Hospital,Ibitaro bya Gisirikare,Kicukiro,Kigali,300,134,423,198412,6
Muhima District Hospital,Ibitaro bya Akarere,Nyarugenge,Kigali,200,78,234,145231,3
Kibagabaga District Hospital,Ibitaro bya Akarere,Gasabo,Kigali,200,82,241,152341,8
Masaka District Hospital,Ibitaro bya Akarere,Kicukiro,Kigali,150,61,184,112341,12
Ruhengeri Referral Hospital,Ibitaro Bikuriye,Musanze,Amajyaruguru,300,112,367,234512,0
Butaro District Hospital,Ibitaro bya Akarere,Burera,Amajyaruguru,120,48,142,87234,42
Byumba District Hospital,Ibitaro bya Akarere,Gicumbi,Amajyaruguru,150,56,168,98412,0
Gakenke District Hospital,Ibitaro bya Akarere,Gakenke,Amajyaruguru,120,44,132,78234,35
Huye District Hospital,Ibitaro bya Akarere,Huye,Amajyepfo,200,74,223,134512,0
Kabgayi District Hospital,Ibitaro bya Akarere,Muhanga,Amajyepfo,250,91,278,167234,3
Gisagara District Hospital,Ibitaro bya Akarere,Gisagara,Amajyepfo,120,45,134,79412,0
Nyanza District Hospital,Ibitaro bya Akarere,Nyanza,Amajyepfo,150,54,162,96341,0
Ruhango District Hospital,Ibitaro bya Akarere,Ruhango,Amajyepfo,120,43,129,76234,0
Kibungo Referral Hospital,Ibitaro Bikuriye,Ngoma,Iburasirazuba,250,94,282,172341,0
Nyagatare District Hospital,Ibitaro bya Akarere,Nyagatare,Iburasirazuba,180,67,201,123412,0
Rwamagana District Hospital,Ibitaro bya Akarere,Rwamagana,Iburasirazuba,150,55,166,101234,0
Kirehe District Hospital,Ibitaro bya Akarere,Kirehe,Iburasirazuba,120,44,132,78341,0
Gisenyi District Hospital,Ibitaro bya Akarere,Rubavu,Iburengerazuba,200,76,229,143512,0
Kibuye Referral Hospital,Ibitaro Bikuriye,Karongi,Iburengerazuba,200,78,235,145234,0
Rusizi District Hospital,Ibitaro bya Akarere,Rusizi,Iburengerazuba,180,67,201,123341,0
Nyamasheke District Hospital,Ibitaro bya Akarere,Nyamasheke,Iburengerazuba,120,44,133,78412,0
