Akarere,Intara,Abaganga,Infirmiyeri,Abaserukira_b_Ubuzima,Abavuzi_Inzobere,Abaganga_Abashakashatsi
Gasabo,Kigali,420,781,2275,75,15
Kicukiro,Kigali,202,921,2055,24,8
Nyarugenge,Kigali,410,231,957,91,14
Bugesera,Uburasirazuba,78,1525,689,51,12
Gatsibo,Uburasirazuba,379,667,1035,98,16
Kayonza,Uburasirazuba,192,547,648,48,1
Kirehe,Uburasirazuba,405,830,4301,38,18
Ngoma,Uburasirazuba,421,896,4254,33,19
Nyagatare,Uburasirazuba,60,1304,2009,49,19
Rwamagana,Uburasirazuba,151,1312,1684,18,5
Burera,Amajyaruguru,290,299,863,71,15
Gakenke,Amajyaruguru,49,1614,4345,67,8
Gicumbi,Amajyaruguru,219,357,944,93,19
Musanze,Amajyaruguru,376,1630,989,88,3
Rulindo,Amajyaruguru,97,1020,1599,64,18
Gisagara,Amajyepfo,147,676,3938,36,17
Huye,Amajyepfo,36,1750,4576,9,8
Kamonyi,Amajyepfo,307,1074,875,6,18
Muhanga,Amajyepfo,64,1976,650,50,19
Nyamagabe,Amajyepfo,430,1096,758,62,13
Nyanza,Amajyepfo,169,965,4524,17,13
Nyaruguru,Amajyepfo,195,1246,3609,50,15
Ruhango,Amajyepfo,428,432,1174,17,18
Karongi,Uburengerazuba,128,210,564,43,17
Ngororero,Uburengerazuba,70,491,1004,67,7
Nyabihu,Uburengerazuba,487,1353,2647,59,17
Nyamasheke,Uburengerazuba,384,306,2167,67,12
Rubavu,Uburengerazuba,468,116,4539,41,1
Rutsiro,Uburengerazuba,114,405,800,8,16
Rusizi,Uburengerazuba,97,678,2903,50,7
