Akarere,Intara,Umubare_Indwara_Sida,Uruhare_Sida_%,Umubare_Malariya,Uruhare_Malariya_%,Abarerurwa_Bakize
Gasabo,Kigali,4829,0.0094,4414,0.0311,232
Kicukiro,Kigali,987,0.0071,5876,0.0316,410
Nyarugenge,Kigali,3132,0.0078,7476,0.0218,1425
Bugesera,Uburasirazuba,3950,0.0158,1308,0.0224,2787
Gatsibo,Uburasirazuba,4219,0.0138,6291,0.0235,2009
Kayonza,Uburasirazuba,4789,0.007,4241,0.0259,240
Kirehe,Uburasirazuba,4689,0.0176,4121,0.0252,2771
Ngoma,Uburasirazuba,1050,0.0137,5978,0.0139,1223
Nyagatare,Uburasirazuba,3082,0.0182,4280,0.0215,2940
Rwamagana,Uburasirazuba,4596,0.0164,2551,0.0389,2914
Burera,Amajyaruguru,2373,0.007,3595,0.031,2270
Gakenke,Amajyaruguru,1634,0.0155,6955,0.0314,2812
Gicumbi,Amajyaruguru,3236,0.008,5181,0.0187,1101
Musanze,Amajyaruguru,3427,0.0197,5375,0.0387,1561
Rulindo,Amajyaruguru,3532,0.0098,1365,0.0206,1493
Gisagara,Amajyepfo,2939,0.015,3631,0.0324,2540
Huye,Amajyepfo,1572,0.0177,6562,0.0257,173
Kamonyi,Amajyepfo,897,0.0151,1999,0.0325,566
Muhanga,Amajyepfo,1575,0.0088,6795,0.0307,955
Nyamagabe,Amajyepfo,3817,0.0055,6605,0.0131,2617
Nyanza,Amajyepfo,3749,0.018,6068,0.0268,789
Nyaruguru,Amajyepfo,3964,0.017,2657,0.0299,2786
Ruhango,Amajyepfo,2060,0.0194,7818,0.0194,1701
Karongi,Uburengerazuba,262,0.0088,5154,0.0334,2623
Ngororero,Uburengerazuba,4183,0.0187,5784,0.0294,2289
Nyabihu,Uburengerazuba,2823,0.0141,6321,0.0389,953
Nyamasheke,Uburengerazuba,1051,0.0152,1902,0.0152,1590
Rubavu,Uburengerazuba,2010,0.0114,4674,0.0139,1793
Rutsiro,Uburengerazuba,1424,0.01,5822,0.0146,545
Rusizi,Uburengerazuba,1748,0.0058,7492,0.0285,2019
