Akarere,Intara,HIV_Buziranenge_%,Bafashwa_ARV_%,Malaria_Bihumbi_100k,Urupfu_Malaria_100k,Indwara_za_Nzoka_%,Abafashwa_Malariya_%
Gasabo,Kigali,2.8,94.2,234,1.2,4.3,98.4
Kicukiro,Kigali,2.6,93.8,267,1.4,4.7,98.1
Nyarugenge,Kigali,3.1,93.4,289,1.6,5.1,97.8
Burera,Amajyaruguru,1.4,91.2,1234,6.8,12.4,94.2
Gakenke,Amajyaruguru,1.3,90.8,1312,7.2,13.1,93.8
Gicumbi,Amajyaruguru,1.5,91.6,1156,6.4,11.8,94.6
Musanze,Amajyaruguru,1.6,92.1,1089,5.9,11.2,95.1
Rulindo,Amajyaruguru,1.2,90.4,1389,7.6,13.8,93.4
Gisagara,Amajyepfo,1.8,90.1,1456,8.1,14.4,93.1
Huye,Amajyepfo,2.1,91.8,1234,6.8,12.4,94.4
Kamonyi,Amajyepfo,1.7,91.2,1312,7.2,13.1,94.0
Muhanga,Amajyepfo,1.8,91.5,1267,7.0,12.8,94.2
Nyamagabe,Amajyepfo,1.6,90.8,1423,7.8,14.1,93.6
Nyanza,Amajyepfo,1.9,91.3,1345,7.4,13.4,93.9
Nyaruguru,Amajyepfo,1.5,90.2,1512,8.4,15.1,93.2
Ruhango,Amajyepfo,1.8,91.1,1323,7.3,13.2,94.0
Bugesera,Iburasirazuba,2.4,91.7,1089,5.9,11.2,94.5
Gatsibo,Iburasirazuba,1.9,90.7,1267,7.0,12.8,93.8
Kayonza,Iburasirazuba,2.1,90.4,1312,7.2,13.1,93.6
Kirehe,Iburasirazuba,2.0,90.5,1289,7.1,12.9,93.7
Ngoma,Iburasirazuba,2.3,91.2,1156,6.4,11.8,94.1
Nyagatare,Iburasirazuba,2.6,91.9,978,5.4,10.4,94.7
Rwamagana,Iburasirazuba,2.4,91.6,1089,5.9,11.2,94.4
Karongi,Iburengerazuba,1.7,90.6,1289,7.1,12.9,93.7
Ngororero,Iburengerazuba,1.6,90.3,1334,7.4,13.4,93.5
Nyabihu,Iburengerazuba,1.6,90.4,1312,7.2,13.1,93.6
Nyamasheke,Iburengerazuba,1.8,90.2,1356,7.5,13.6,93.4
Rubavu,Iburengerazuba,2.9,92.4,867,4.8,9.2,95.2
Rutsiro,Iburengerazuba,1.5,90.1,1378,7.6,13.8,93.3
Rusizi,Iburengerazuba,2.7,92.1,934,5.2,9.8,95.0
