Akarere,Intara,Inzu_Amatafari_%,Inzu_Amabati_%,Inzu_Ibyatsi_%,Umubare_Inzu_Byose,Inzu_Nziza_%
Gasabo,Kigali,0.731,0.354,0.111,49088,0.605
Kicukiro,Kigali,0.516,0.221,0.176,112894,0.654
Nyarugenge,Kigali,0.313,0.443,0.323,185312,0.822
Bugesera,Uburasirazuba,0.705,0.436,0.289,74779,0.799
Gatsibo,Uburasirazuba,0.517,0.371,0.282,149728,0.567
Kayonza,Uburasirazuba,0.355,0.355,0.28,138814,0.808
Kirehe,Uburasirazuba,0.769,0.385,0.243,117977,0.706
Ngoma,Uburasirazuba,0.381,0.353,0.286,185685,0.59
Nyagatare,Uburasirazuba,0.308,0.52,0.338,26252,0.625
Rwamagana,Uburasirazuba,0.571,0.335,0.199,126953,0.659
Burera,Amajyaruguru,0.63,0.513,0.303,125519,0.587
Gakenke,Amajyaruguru,0.584,0.328,0.166,43969,0.689
Gicumbi,Amajyaruguru,0.52,0.387,0.341,101239,0.803
Musanze,Amajyaruguru,0.409,0.223,0.335,62524,0.733
Rulindo,Amajyaruguru,0.457,0.226,0.145,155535,0.633
Gisagara,Amajyepfo,0.735,0.251,0.258,37911,0.735
Huye,Amajyepfo,0.325,0.246,0.11,140043,0.808
Kamonyi,Amajyepfo,0.59,0.217,0.279,21554,0.764
Muhanga,Amajyepfo,0.43,0.303,0.27,172923,0.656
Nyamagabe,Amajyepfo,0.659,0.44,0.187,24721,0.683
Nyanza,Amajyepfo,0.556,0.295,0.181,80558,0.797
Nyaruguru,Amajyepfo,0.508,0.457,0.319,37185,0.648
Ruhango,Amajyepfo,0.694,0.334,0.202,133875,0.691
Karongi,Uburengerazuba,0.787,0.449,0.14,18476,0.829
Ngororero,Uburengerazuba,0.756,0.21,0.252,163526,0.703
Nyabihu,Uburengerazuba,0.69,0.403,0.245,75370,0.614
Nyamasheke,Uburengerazuba,0.715,0.213,0.282,82407,0.849
Rubavu,Uburengerazuba,0.339,0.231,0.334,52670,0.701
Rutsiro,Uburengerazuba,0.587,0.419,0.205,149278,0.804
Rusizi,Uburengerazuba,0.564,0.221,0.218,109645,0.682
