Akarere,Intara,Sosiyete_z_ICT,Ibikorwa_Digital,Abakora_mu_Gice_cya_ICT,Abakorera_Online,Uruhare_Digital_%
Gasabo,Kigali,32,22,1685,3798,0.214
Kicukiro,Kigali,180,96,1102,4015,0.203
Nyarugenge,Kigali,167,4,446,4714,0.486
Bugesera,Uburasirazuba,147,53,1670,1545,0.255
Gatsibo,Uburasirazuba,142,84,916,2218,0.332
Kayonza,Uburasirazuba,173,99,1476,670,0.377
Kirehe,Uburasirazuba,20,79,1468,1702,0.454
Ngoma,Uburasirazuba,58,63,1050,3907,0.553
Nyagatare,Uburasirazuba,66,92,895,4668,0.597
Rwamagana,Uburasirazuba,66,84,1339,4400,0.218
Burera,Amajyaruguru,128,2,316,1943,0.672
Gakenke,Amajyaruguru,136,27,345,4087,0.567
Gicumbi,Amajyaruguru,60,21,1757,4759,0.629
Musanze,Amajyaruguru,151,2,181,2832,0.304
Rulindo,Amajyaruguru,39,42,562,1963,0.492
Gisagara,Amajyepfo,129,49,1331,982,0.35
Huye,Amajyepfo,50,30,995,4004,0.396
Kamonyi,Amajyepfo,74,49,238,650,0.64
Muhanga,Amajyepfo,152,30,1940,1694,0.531
Nyamagabe,Amajyepfo,27,47,671,656,0.548
Nyanza,Amajyepfo,142,77,993,4043,0.445
Nyaruguru,Amajyepfo,85,25,617,2586,0.645
Ruhango,Amajyepfo,157,7,1555,1381,0.359
Karongi,Uburengerazuba,81,45,827,4570,0.334
Ngororero,Uburengerazuba,146,35,1646,1611,0.405
Nyabihu,Uburengerazuba,116,18,452,3163,0.674
Nyamasheke,Uburengerazuba,124,34,1229,197,0.561
Rubavu,Uburengerazuba,161,10,1424,4569,0.583
Rutsiro,Uburengerazuba,112,66,1061,1874,0.299
Rusizi,Uburengerazuba,35,54,1726,1223,0.601
