Akarere,Intara,Uruhare_Ubwishingizi_%,Uruhare_Mutuelle_%,Umubare_Bafite_Ubwishingizi,Umubare_Bafite_Mutuelle
Gasabo,Kigali,0.273,0.749,14427,13763
Kicukiro,Kigali,0.287,0.622,38192,17734
Nyarugenge,Kigali,0.19,0.606,21583,9252
Bugesera,Uburasirazuba,0.102,0.589,5008,11650
Gatsibo,Uburasirazuba,0.11,0.697,48926,8764
Kayonza,Uburasirazuba,0.13,0.6,9059,6560
Kirehe,Uburasirazuba,0.35,0.569,24518,16257
Ngoma,Uburasirazuba,0.337,0.675,17380,5382
Nyagatare,Uburasirazuba,0.143,0.598,17699,1561
Rwamagana,Uburasirazuba,0.233,0.709,47233,15627
Burera,Amajyaruguru,0.348,0.703,31642,11789
Gakenke,Amajyaruguru,0.134,0.562,2633,6608
Gicumbi,Amajyaruguru,0.439,0.563,7249,18422
Musanze,Amajyaruguru,0.277,0.61,31683,1782
Rulindo,Amajyaruguru,0.371,0.662,15450,7938
Gisagara,Amajyepfo,0.138,0.7,12422,12191
Huye,Amajyepfo,0.364,0.552,19812,16005
Kamonyi,Amajyepfo,0.452,0.674,17641,18782
Muhanga,Amajyepfo,0.413,0.641,17081,4253
Nyamagabe,Amajyepfo,0.141,0.669,4309,15893
Nyanza,Amajyepfo,0.177,0.665,32230,5497
Nyaruguru,Amajyepfo,0.268,0.695,22786,5241
Ruhango,Amajyepfo,0.419,0.562,16271,8999
Karongi,Uburengerazuba,0.484,0.701,16248,17761
Ngororero,Uburengerazuba,0.41,0.579,16125,7186
Nyabihu,Uburengerazuba,0.248,0.552,29735,13726
Nyamasheke,Uburengerazuba,0.123,0.651,41923,17244
Rubavu,Uburengerazuba,0.269,0.589,10818,18215
Rutsiro,Uburengerazuba,0.414,0.618,33725,14048
Rusizi,Uburengerazuba,0.493,0.67,17226,11779
