Akarere,Intara,Ubutaka_Busaruye_ha,Ubutaka_Butuwe_Amazi_ha,Imiyoboro_y_Amazi_km,Imitima_yo_Gutunga_Amazi,Uruhare_Butuwe_%
Gasabo,Kigali,25518,2822,69,102,0.16
Kicukiro,Kigali,7252,11304,96,16,0.425
Nyarugenge,Kigali,17864,10843,45,207,0.498
Bugesera,Uburasirazuba,13880,10561,43,282,0.233
Gatsibo,Uburasirazuba,12449,11742,18,239,0.278
Kayonza,Uburasirazuba,566,8201,13,253,0.213
Kirehe,Uburasirazuba,19060,5052,20,297,0.388
Ngoma,Uburasirazuba,19956,419,36,296,0.478
Nyagatare,Uburasirazuba,20759,6193,19,31,0.378
Rwamagana,Uburasirazuba,28143,1276,59,104,0.289
Burera,Amajyaruguru,13973,8993,8,181,0.42
Gakenke,Amajyaruguru,8421,6563,62,93,0.341
Gicumbi,Amajyaruguru,976,2543,89,20,0.266
Musanze,Amajyaruguru,1500,9156,74,202,0.34
Rulindo,Amajyaruguru,29262,9053,70,157,0.252
Gisagara,Amajyepfo,4334,13260,37,223,0.329
Huye,Amajyepfo,19070,9779,31,141,0.341
Kamonyi,Amajyepfo,14007,12191,91,211,0.304
Muhanga,Amajyepfo,11029,2849,90,126,0.287
Nyamagabe,Amajyepfo,6281,11582,67,17,0.365
Nyanza,Amajyepfo,8609,11747,96,28,0.37
Nyaruguru,Amajyepfo,29214,7524,55,121,0.202
Ruhango,Amajyepfo,18897,13746,53,218,0.204
Karongi,Uburengerazuba,25105,4937,59,153,0.412
Ngororero,Uburengerazuba,23820,8075,69,10,0.375
Nyabihu,Uburengerazuba,20628,11927,40,211,0.459
Nyamasheke,Uburengerazuba,20075,13043,76,123,0.405
Rubavu,Uburengerazuba,10290,6958,8,205,0.209
Rutsiro,Uburengerazuba,27043,2803,75,257,0.244
Rusizi,Uburengerazuba,5885,7949,48,124,0.199
