Akarere,Intara,Inzu_z_Inkiko,Ibirego_Byashyikirijwe,Ibirego_Byakemuwe,Abacamanza,Ibirego_bya_Gacaca,Abagaminzi
Gasabo,Kigali,19,191,650,10,1340,7
Kicukiro,Kigali,47,726,488,4,3967,11
Nyarugenge,Kigali,46,1386,86,10,2600,3
Bugesera,Uburasirazuba,46,2224,809,15,887,13
Gatsibo,Uburasirazuba,41,2820,1031,4,3677,7
Kayonza,Uburasirazuba,37,1614,55,18,3497,9
Kirehe,Uburasirazuba,8,1453,116,11,3363,5
Ngoma,Uburasirazuba,30,1005,1343,7,1124,4
Nyagatare,Uburasirazuba,19,1379,220,4,1513,1
Rwamagana,Uburasirazuba,33,1590,349,8,1728,2
Burera,Amajyaruguru,36,921,404,3,3143,5
Gakenke,Amajyaruguru,24,477,732,14,708,1
Gicumbi,Amajyaruguru,24,619,914,12,4213,10
Musanze,Amajyaruguru,32,1006,1235,14,3420,8
Rulindo,Amajyaruguru,48,2291,725,4,4101,13
Gisagara,Amajyepfo,26,1421,1042,14,2433,4
Huye,Amajyepfo,15,2597,944,18,2081,10
Kamonyi,Amajyepfo,34,2387,1329,10,345,7
Muhanga,Amajyepfo,20,1437,297,15,3101,2
Nyamagabe,Amajyepfo,9,2470,1205,7,3317,12
Nyanza,Amajyepfo,28,1262,649,13,2830,14
Nyaruguru,Amajyepfo,22,1088,1230,12,3964,7
Ruhango,Amajyepfo,40,1679,392,13,573,14
Karongi,Uburengerazuba,30,1511,908,10,2864,12
Ngororero,Uburengerazuba,12,2872,150,3,4107,11
Nyabihu,Uburengerazuba,22,1533,1007,3,4121,13
Nyamasheke,Uburengerazuba,45,1944,50,4,916,8
Rubavu,Uburengerazuba,22,1776,333,14,1719,8
Rutsiro,Uburengerazuba,46,983,1417,9,4916,5
Rusizi,Uburengerazuba,9,123,1480,9,812,5
