Akarere,Intara,Umubare_Ubutaka_Byose,Ubutaka_Bwanditswe,Uruhare_Kwandika_%,Ubutaka_Bwashyizweho_Impapuro,Ibibazo_by_Ubutaka
Gasabo,Kigali,57509,316219,0.801,6778,2382
Kicukiro,Kigali,308715,142404,0.788,47090,9230
Nyarugenge,Kigali,140663,285760,0.762,43702,9684
Bugesera,Uburasirazuba,55893,236512,0.895,46658,5050
Gatsibo,Uburasirazuba,211625,36809,0.869,6432,4762
Kayonza,Uburasirazuba,460347,116275,0.755,17564,2682
Kirehe,Uburasirazuba,180579,309423,0.774,27807,7365
Ngoma,Uburasirazuba,463603,270384,0.899,12545,821
Nyagatare,Uburasirazuba,475038,363164,0.87,38513,450
Rwamagana,Uburasirazuba,490906,380714,0.852,31009,897
Burera,Amajyaruguru,284684,379441,0.796,3045,452
Gakenke,Amajyaruguru,263650,265379,0.823,15867,8513
Gicumbi,Amajyaruguru,486303,23255,0.759,38907,8132
Musanze,Amajyaruguru,276409,346213,0.866,37158,5569
Rulindo,Amajyaruguru,45027,309787,0.868,22056,4325
Gisagara,Amajyepfo,86129,183611,0.903,49144,3740
Huye,Amajyepfo,112949,183062,0.76,12369,5927
Kamonyi,Amajyepfo,129020,302778,0.901,39865,5723
Muhanga,Amajyepfo,495650,20735,0.872,40818,858
Nyamagabe,Amajyepfo,80823,84528,0.757,18133,6586
Nyanza,Amajyepfo,137237,127578,0.853,24456,1311
Nyaruguru,Amajyepfo,56865,111326,0.842,25251,7378
Ruhango,Amajyepfo,191339,367313,0.787,35943,9420
Karongi,Uburengerazuba,394500,127683,0.861,26815,2748
Ngororero,Uburengerazuba,354930,208826,0.759,45120,7084
Nyabihu,Uburengerazuba,318498,122716,0.785,7719,9761
Nyamasheke,Uburengerazuba,130657,300634,0.786,19247,8182
Rubavu,Uburengerazuba,88141,391495,0.869,32845,4592
Rutsiro,Uburengerazuba,74834,207079,0.756,14620,3903
Rusizi,Uburengerazuba,417045,47529,0.797,30877,5004
