Akarere,Intara,Ubuhinzi_%,Amashyamba_%,Ibirarane_%,Inzira_n_Inyubako_%
Gasabo,Kigali,0.567,0.179,0.144,0.047
Kicukiro,Kigali,0.561,0.17,0.154,0.062
Nyarugenge,Kigali,0.687,0.085,0.136,0.081
Bugesera,Uburasirazuba,0.72,0.117,0.153,0.065
Gatsibo,Uburasirazuba,0.729,0.155,0.191,0.061
Kayonza,Uburasirazuba,0.605,0.144,0.224,0.039
Kirehe,Uburasirazuba,0.634,0.171,0.161,0.071
Ngoma,Uburasirazuba,0.535,0.104,0.143,0.052
Nyagatare,Uburasirazuba,0.52,0.125,0.247,0.07
Rwamagana,Uburasirazuba,0.658,0.17,0.235,0.091
Burera,Amajyaruguru,0.504,0.086,0.14,0.069
Gakenke,Amajyaruguru,0.733,0.167,0.119,0.032
Gicumbi,Amajyaruguru,0.608,0.16,0.248,0.039
Musanze,Amajyaruguru,0.717,0.189,0.236,0.055
Rulindo,Amajyaruguru,0.601,0.142,0.207,0.038
Gisagara,Amajyepfo,0.724,0.187,0.189,0.073
Huye,Amajyepfo,0.749,0.076,0.211,0.055
Kamonyi,Amajyepfo,0.612,0.123,0.167,0.088
Muhanga,Amajyepfo,0.572,0.132,0.12,0.043
Nyamagabe,Amajyepfo,0.691,0.189,0.24,0.036
Nyanza,Amajyepfo,0.724,0.147,0.155,0.075
Nyaruguru,Amajyepfo,0.595,0.127,0.176,0.071
Ruhango,Amajyepfo,0.736,0.083,0.145,0.054
Karongi,Uburengerazuba,0.641,0.187,0.187,0.089
Ngororero,Uburengerazuba,0.607,0.112,0.148,0.042
Nyabihu,Uburengerazuba,0.536,0.176,0.21,0.099
Nyamasheke,Uburengerazuba,0.553,0.137,0.186,0.073
Rubavu,Uburengerazuba,0.525,0.107,0.118,0.049
Rutsiro,Uburengerazuba,0.61,0.185,0.143,0.094
Rusizi,Uburengerazuba,0.747,0.168,0.239,0.077
