Akarere,Intara,Ubutaka_Bose_ha,Ubutaka_Buhinzwe_%,Amashyamba_%,Ibirunga_%,Ibibaya_%,Amazi_%,Ubutaka_Butabonetse_%
Gasabo,Kigali,16700,34.2,12.4,0.0,8.3,6.8,38.3
Kicukiro,Kigali,16700,38.7,10.2,0.0,7.1,5.4,38.6
Nyarugenge,Kigali,9600,31.4,8.9,0.0,9.2,4.3,46.2
Burera,Amajyaruguru,64500,48.3,24.7,8.2,4.1,3.2,11.5
Gakenke,Amajyaruguru,74800,52.1,21.3,2.4,5.8,2.9,15.5
Gicumbi,Amajyaruguru,81500,53.7,19.8,1.2,6.4,3.1,15.8
Musanze,Amajyaruguru,49700,45.8,22.4,14.6,3.7,4.2,9.3
Rulindo,Amajyaruguru,56800,54.2,22.7,0.4,5.3,2.8,14.6
Gisagara,Amajyepfo,71700,57.8,18.4,0.0,7.2,2.4,14.2
Huye,Amajyepfo,58300,54.9,19.7,0.0,6.8,3.4,15.2
Kamonyi,Amajyepfo,47600,58.3,17.2,0.0,7.4,2.7,14.4
Muhanga,Amajyepfo,49700,56.7,18.6,0.0,7.1,3.0,14.6
Nyamagabe,Amajyepfo,101100,51.2,23.8,0.0,5.9,2.6,16.5
Nyanza,Amajyepfo,57700,55.4,18.9,0.0,7.0,3.2,15.5
Nyaruguru,Amajyepfo,117300,48.7,26.4,0.0,5.4,2.3,17.2
Ruhango,Amajyepfo,66500,56.1,18.7,0.0,6.9,3.1,15.2
Bugesera,Iburasirazuba,133600,49.8,14.2,0.0,8.7,9.4,17.9
Gatsibo,Iburasirazuba,153000,52.4,13.8,0.0,9.2,5.6,19.0
Kayonza,Iburasirazuba,187600,48.7,14.6,0.0,8.4,8.9,19.4
Kirehe,Iburasirazuba,155300,51.3,13.4,0.0,8.8,7.2,19.3
Ngoma,Iburasirazuba,95200,53.2,14.9,0.0,8.1,6.4,17.4
Nyagatare,Iburasirazuba,350300,46.8,11.2,0.0,12.4,5.8,23.8
Rwamagana,Iburasirazuba,48300,54.7,13.6,0.0,8.3,7.2,16.2
Karongi,Iburengerazuba,126100,47.3,23.4,0.0,6.2,9.8,13.3
Ngororero,Iburengerazuba,69500,52.8,21.3,0.0,6.8,3.4,15.7
Nyabihu,Iburengerazuba,56300,49.4,23.8,0.0,5.9,4.7,16.2
Nyamasheke,Iburengerazuba,159100,51.7,24.6,0.0,5.4,7.8,10.5
Rubavu,Iburengerazuba,42500,44.2,19.8,12.3,5.6,8.4,9.7
Rutsiro,Iburengerazuba,129600,50.3,22.7,0.0,6.1,4.9,16.0
Rusizi,Iburengerazuba,156700,48.9,18.4,0.0,7.8,8.9,16.0
