Akarere,Intara,Inka,Intama,Ihene,Ingurube,Inkoko,Inkwavu,Umubare_Ababyeyi,Umusaruro_Amata_L
Gasabo,Kigali,12340,8234,9234,3234,45234,2234,8234,3456789
Kicukiro,Kigali,8234,5234,6234,2234,32234,1234,5234,2123456
Nyarugenge,Kigali,6234,4234,5234,1734,28234,934,4234,1678234
Burera,Amajyaruguru,89234,67234,45234,12234,123234,8234,23456,24567890
Gakenke,Amajyaruguru,76234,58234,39234,10234,108234,7234,19234,20345678
Gicumbi,Amajyaruguru,95234,71234,48234,13234,132234,9234,25234,26234567
Musanze,Amajyaruguru,82234,62234,42234,11234,115234,8234,21234,22456789
Rulindo,Amajyaruguru,58234,44234,30234,8234,82234,5234,15234,15234567
Gisagara,Amajyepfo,67234,51234,34234,9234,95234,6234,17234,17890234
Huye,Amajyepfo,72234,54234,37234,10234,102234,7234,19234,19567890
Kamonyi,Amajyepfo,65234,49234,33234,9034,93234,6034,16734,17234567
Muhanga,Amajyepfo,66234,50234,34034,9134,94234,6134,17034,17456789
Nyamagabe,Amajyepfo,70234,53234,36234,9934,98234,6834,18234,18789012
Nyanza,Amajyepfo,64234,48234,32234,8934,91234,5934,16434,16989012
Nyaruguru,Amajyepfo,58234,44234,30034,8134,83234,5334,15034,15456789
Ruhango,Amajyepfo,65234,49234,33234,9034,93234,6034,16734,17123456
Bugesera,Iburasirazuba,84234,63234,43234,11834,118234,8134,21734,22789012
Gatsibo,Iburasirazuba,71234,53234,36234,9934,100234,6834,18434,18901234
Kayonza,Iburasirazuba,68234,51234,34734,9534,96234,6534,17634,18012345
Kirehe,Iburasirazuba,69234,52234,35234,9634,97234,6634,17834,18234567
Ngoma,Iburasirazuba,62234,47234,31834,8734,88234,5734,16034,16456789
Nyagatare,Iburasirazuba,134234,101234,68234,18734,188234,12734,34234,36234567
Rwamagana,Iburasirazuba,66234,50234,34034,9234,93234,6334,17034,17456789
Karongi,Iburengerazuba,67234,50734,34234,9334,95234,6434,17234,17678901
Ngororero,Iburengerazuba,65234,49234,33234,9034,93234,6034,16734,17012345
Nyabihu,Iburengerazuba,60234,45234,30734,8434,85234,5534,15534,15789012
Nyamasheke,Iburengerazuba,71234,53734,36434,9934,101234,6934,18434,18901234
Rubavu,Iburengerazuba,54234,40834,27634,7634,76234,4934,13934,14123456
Rutsiro,Iburengerazuba,61234,46234,31234,8634,86234,5634,15734,15901234
Rusizi,Iburengerazuba,76234,57434,38934,10634,107234,7334,19634,20234567
