Akarere,Intara,Inka,Intama,Imbuzi,Inkoko,Ingurube,Inkwavu
Gasabo,Kigali,60055,30715,4210,79652,332259,8549
Kicukiro,Kigali,70740,15022,11159,19231,497446,67887
Nyarugenge,Kigali,54017,3927,14105,89187,202521,56991
Bugesera,Uburasirazuba,40579,10196,14208,129759,164535,67858
Gatsibo,Uburasirazuba,54686,15688,12507,36061,418713,14966
Kayonza,Uburasirazuba,58907,8533,3166,30190,115350,23976
Kirehe,Uburasirazuba,24724,27587,4831,143652,161768,8743
Ngoma,Uburasirazuba,42226,12761,18729,72814,21314,68805
Nyagatare,Uburasirazuba,73016,42255,13711,38337,63239,53612
Rwamagana,Uburasirazuba,59267,7760,5861,53920,494559,33122
Burera,Amajyaruguru,39820,7691,4319,17494,159472,81151
Gakenke,Amajyaruguru,28453,37711,2804,154058,42026,85939
Gicumbi,Amajyaruguru,54751,11014,7793,93165,318467,88455
Musanze,Amajyaruguru,11971,41303,4474,86147,481908,30824
Rulindo,Amajyaruguru,33928,42981,16198,133280,402516,15740
Gisagara,Amajyepfo,57212,5756,18906,40285,219693,61121
Huye,Amajyepfo,65169,34884,4443,82152,192127,7737
Kamonyi,Amajyepfo,56334,42411,19495,34824,461791,15729
Muhanga,Amajyepfo,35846,5160,5970,69705,358192,69403
Nyamagabe,Amajyepfo,62564,30102,11735,195800,341525,37138
Nyanza,Amajyepfo,44232,35927,2809,135725,139316,37846
Nyaruguru,Amajyepfo,55722,21089,16941,116085,494139,10183
Ruhango,Amajyepfo,53254,10375,17128,171855,437319,12112
Karongi,Uburengerazuba,41873,14321,19432,19566,126899,66115
Ngororero,Uburengerazuba,35245,14044,9722,162239,235087,86375
Nyabihu,Uburengerazuba,38530,8579,10450,134140,69268,44172
Nyamasheke,Uburengerazuba,46784,3007,2727,124798,317151,33936
Rubavu,Uburengerazuba,43125,12722,13758,190567,194404,10156
Rutsiro,Uburengerazuba,21718,24359,11642,127754,247104,67430
Rusizi,Uburengerazuba,58693,8359,15427,52131,183851,83838
