Akarere,Intara,Igabanuka_Gakabije_%,Igabanuka_Bukabije_%,Ibiro_Bito_%,Indwara_Nzoka_%,Abana_Bafite_Ubuzima_Bwiza_%,Abana_Batumiwe_Vitamini_A_%
Gasabo,Kigali,8.2,1.4,2.1,4.3,89.4,96.7
Kicukiro,Kigali,9.1,1.6,2.3,4.8,88.2,96.2
Nyarugenge,Kigali,9.8,1.8,2.5,5.1,87.4,95.8
Burera,Amajyaruguru,28.4,7.2,8.3,14.6,63.8,89.4
Gakenke,Amajyaruguru,30.1,7.8,8.9,15.4,62.1,88.7
Gicumbi,Amajyaruguru,27.3,6.9,8.0,14.1,65.2,90.1
Musanze,Amajyaruguru,23.6,5.9,6.8,12.3,69.4,91.8
Rulindo,Amajyaruguru,31.2,8.1,9.2,15.9,60.8,88.1
Gisagara,Amajyepfo,33.4,8.7,9.8,16.8,58.9,87.4
Huye,Amajyepfo,25.8,6.4,7.4,13.2,67.1,91.2
Kamonyi,Amajyepfo,28.9,7.3,8.4,14.8,63.2,89.8
Muhanga,Amajyepfo,27.8,7.0,8.1,14.3,64.7,90.4
Nyamagabe,Amajyepfo,34.1,8.9,10.1,17.2,58.2,87.1
Nyanza,Amajyepfo,29.6,7.5,8.7,15.1,62.4,89.2
Nyaruguru,Amajyepfo,35.8,9.3,10.6,18.1,56.7,86.4
Ruhango,Amajyepfo,29.2,7.4,8.5,14.9,62.8,89.5
Bugesera,Iburasirazuba,26.1,6.5,7.6,13.4,66.8,91.4
Gatsibo,Iburasirazuba,30.4,7.9,9.0,15.6,61.8,88.9
Kayonza,Iburasirazuba,31.0,8.0,9.2,15.8,61.2,88.6
Kirehe,Iburasirazuba,30.7,7.9,9.1,15.7,61.5,88.7
Ngoma,Iburasirazuba,29.4,7.5,8.6,15.0,62.6,89.3
Nyagatare,Iburasirazuba,25.4,6.3,7.3,13.0,67.4,91.6
Rwamagana,Iburasirazuba,26.4,6.6,7.7,13.5,66.4,91.3
Karongi,Iburengerazuba,31.3,8.1,9.3,15.9,61.0,88.5
Ngororero,Iburengerazuba,32.1,8.3,9.5,16.3,60.2,88.1
Nyabihu,Iburengerazuba,31.7,8.2,9.4,16.1,60.6,88.3
Nyamasheke,Iburengerazuba,32.3,8.4,9.6,16.4,59.9,87.9
Rubavu,Iburengerazuba,22.4,5.6,6.4,11.6,71.2,92.4
Rutsiro,Iburengerazuba,33.5,8.7,10.0,17.0,58.6,87.2
Rusizi,Iburengerazuba,24.6,6.1,7.1,12.6,68.4,91.8
