Akarere,Intara,Inda_Muri_Ivuriro_%,Abaganga_Bafasha_Kubyara_%,Imirimo_ya_ANC_4plus_%,Itumanahiro_ry_Inda_%,Urupfu_rw_Umubyeyi_100k,Abana_Bavutse_Muzima_%
Gasabo,Kigali,99.2,98.7,97.4,86.3,78,99.1
Kicukiro,Kigali,98.9,98.4,97.1,85.8,82,98.8
Nyarugenge,Kigali,98.7,98.1,96.8,85.2,87,98.6
Burera,Amajyaruguru,87.4,83.2,78.4,71.2,234,94.2
Gakenke,Amajyaruguru,85.9,81.7,76.8,69.7,248,93.7
Gicumbi,Amajyaruguru,88.7,84.5,79.8,72.4,221,94.8
Musanze,Amajyaruguru,92.3,88.9,84.2,77.1,189,96.1
Rulindo,Amajyaruguru,84.6,80.4,75.6,68.4,257,93.2
Gisagara,Amajyepfo,83.2,78.9,74.1,66.9,267,92.7
Huye,Amajyepfo,90.1,86.7,81.9,74.8,201,95.4
Kamonyi,Amajyepfo,86.4,82.2,77.4,70.2,231,93.9
Muhanga,Amajyepfo,87.8,83.6,78.8,71.7,224,94.3
Nyamagabe,Amajyepfo,82.7,78.4,73.6,66.4,271,92.4
Nyanza,Amajyepfo,85.3,81.1,76.3,69.1,244,93.6
Nyaruguru,Amajyepfo,81.4,77.1,72.3,65.1,281,92.1
Ruhango,Amajyepfo,86.0,81.8,77.0,69.8,237,93.8
Bugesera,Iburasirazuba,88.2,84.1,79.3,72.1,218,94.6
Gatsibo,Iburasirazuba,84.9,80.7,75.9,68.7,251,93.4
Kayonza,Iburasirazuba,84.1,79.9,75.1,67.9,258,93.1
Kirehe,Iburasirazuba,84.4,80.2,75.4,68.2,255,93.2
Ngoma,Iburasirazuba,85.6,81.4,76.6,69.4,246,93.7
Nyagatare,Iburasirazuba,88.9,84.8,80.1,72.9,214,94.9
Rwamagana,Iburasirazuba,87.6,83.4,78.6,71.4,226,94.2
Karongi,Iburengerazuba,84.3,80.1,75.3,68.1,256,93.1
Ngororero,Iburengerazuba,83.4,79.2,74.4,67.2,264,92.8
Nyabihu,Iburengerazuba,83.8,79.6,74.8,67.6,261,92.9
Nyamasheke,Iburengerazuba,83.1,78.9,74.1,66.9,268,92.6
Rubavu,Iburengerazuba,93.6,90.2,85.6,78.4,178,96.4
Rutsiro,Iburengerazuba,82.2,77.9,73.2,65.9,274,92.3
Rusizi,Iburengerazuba,91.8,88.4,83.8,76.6,187,95.9
