Akarere,Intara,Uruhare_Vuba_mu_Bitaro_%,Uruhare_ANC_%,Umubare_Vuba,Vuba_Zitabaye_Neza,Uruhare_FP_%
Gasabo,Kigali,0.953,0.957,7429,1052,0.859
Kicukiro,Kigali,0.923,0.95,3980,1026,0.921
Nyarugenge,Kigali,0.908,0.969,7806,2169,0.894
Bugesera,Uburasirazuba,0.932,0.938,5149,4994,0.89
Gatsibo,Uburasirazuba,0.943,0.987,2937,1399,0.887
Kayonza,Uburasirazuba,0.917,0.935,3277,3766,0.918
Kirehe,Uburasirazuba,0.935,0.963,6975,4281,0.846
Ngoma,Uburasirazuba,0.907,0.982,1814,4698,0.922
Nyagatare,Uburasirazuba,0.902,0.948,7208,1193,0.876
Rwamagana,Uburasirazuba,0.895,0.966,7922,4024,0.927
Burera,Amajyaruguru,0.92,0.937,5030,1790,0.922
Gakenke,Amajyaruguru,0.886,0.958,7718,233,0.833
Gicumbi,Amajyaruguru,0.938,0.982,7966,4338,0.837
Musanze,Amajyaruguru,0.912,0.946,5869,780,0.908
Rulindo,Amajyaruguru,0.935,0.962,677,2507,0.903
Gisagara,Amajyepfo,0.899,0.954,6667,3890,0.866
Huye,Amajyepfo,0.942,0.961,5372,2257,0.842
Kamonyi,Amajyepfo,0.885,0.946,6689,3817,0.841
Muhanga,Amajyepfo,0.887,0.955,3048,4582,0.91
Nyamagabe,Amajyepfo,0.891,0.936,5315,555,0.92
Nyanza,Amajyepfo,0.919,0.945,2449,1617,0.874
Nyaruguru,Amajyepfo,0.949,0.972,4761,3053,0.906
Ruhango,Amajyepfo,0.885,0.947,2157,1980,0.866
Karongi,Uburengerazuba,0.899,0.987,1687,3242,0.878
Ngororero,Uburengerazuba,0.914,0.948,6077,3536,0.845
Nyabihu,Uburengerazuba,0.899,0.953,5275,334,0.851
Nyamasheke,Uburengerazuba,0.9,0.965,2445,3661,0.905
Rubavu,Uburengerazuba,0.97,0.954,5138,1017,0.864
Rutsiro,Uburengerazuba,0.886,0.981,2857,1996,0.917
Rusizi,Uburengerazuba,0.919,0.94,4439,1041,0.92
