Akarere,Intara,Indwara_z_Ubwenge_Byose,Indwara_Guhinda_Agahinda,Indwara_Guhagarika,Abakiranyi_ba_Ndwara_z_Ubwenge,Abarwayi_Barongeye_Ubuvuzi
Gasabo,Kigali,77,758,71,3,1199
Kicukiro,Kigali,592,626,158,6,1846
Nyarugenge,Kigali,945,731,181,8,4244
Bugesera,Uburasirazuba,1577,428,49,2,3354
Gatsibo,Uburasirazuba,827,97,69,1,2811
Kayonza,Uburasirazuba,1092,598,175,9,374
Kirehe,Uburasirazuba,1155,213,54,7,3479
Ngoma,Uburasirazuba,1319,211,139,5,297
Nyagatare,Uburasirazuba,1237,450,22,2,4170
Rwamagana,Uburasirazuba,174,724,106,1,1215
Burera,Amajyaruguru,1192,473,95,5,3928
Gakenke,Amajyaruguru,671,514,43,2,508
Gicumbi,Amajyaruguru,434,443,46,5,2889
Musanze,Amajyaruguru,1184,691,26,8,3909
Rulindo,Amajyaruguru,429,648,124,5,102
Gisagara,Amajyepfo,1521,489,101,2,2585
Huye,Amajyepfo,1052,762,63,8,1320
Kamonyi,Amajyepfo,586,457,65,4,4888
Muhanga,Amajyepfo,1894,400,67,9,2405
Nyamagabe,Amajyepfo,368,71,89,3,4633
Nyanza,Amajyepfo,914,517,110,2,3916
Nyaruguru,Amajyepfo,1537,186,102,3,2698
Ruhango,Amajyepfo,250,254,123,6,857
Karongi,Uburengerazuba,354,617,158,8,3089
Ngororero,Uburengerazuba,356,766,196,6,3964
Nyabihu,Uburengerazuba,1570,230,186,5,4295
Nyamasheke,Uburengerazuba,642,133,70,4,3751
Rubavu,Uburengerazuba,926,351,81,4,3834
Rutsiro,Uburengerazuba,837,775,73,8,4877
Rusizi,Uburengerazuba,1545,35,142,2,3611
