Akarere,Intara,Amakoperative,Abanyamuryango,Inguzanyo_Miliyari_Frw,Amafaranga_Yatanzwe_Miliyari_Frw,Inyungu_%,Abagore_%
Gasabo,Kigali,234,89234,45.6,38.9,12.4,54.2
Kicukiro,Kigali,178,67234,34.5,29.4,11.8,53.7
Nyarugenge,Kigali,156,59234,30.2,25.7,11.2,52.9
Burera,Amajyaruguru,89,34234,8.9,7.6,9.4,61.4
Gakenke,Amajyaruguru,78,29234,7.8,6.6,9.1,62.1
Gicumbi,Amajyaruguru,98,38234,10.2,8.7,9.7,60.8
Musanze,Amajyaruguru,112,43234,12.4,10.6,10.2,59.4
Rulindo,Amajyaruguru,67,25234,6.4,5.5,8.9,62.8
Gisagara,Amajyepfo,72,27234,6.8,5.8,8.7,63.2
Huye,Amajyepfo,98,37234,9.8,8.3,9.6,61.2
Kamonyi,Amajyepfo,83,31234,8.1,6.9,9.2,62.3
Muhanga,Amajyepfo,87,33234,8.6,7.3,9.4,61.8
Nyamagabe,Amajyepfo,76,28234,7.2,6.1,8.8,63.4
Nyanza,Amajyepfo,81,30234,7.8,6.6,9.1,62.6
Nyaruguru,Amajyepfo,68,25234,6.2,5.3,8.6,63.8
Ruhango,Amajyepfo,84,31234,8.0,6.8,9.2,62.4
Bugesera,Iburasirazuba,106,40234,10.8,9.2,9.8,60.6
Gatsibo,Iburasirazuba,87,33234,8.4,7.1,9.3,61.9
Kayonza,Iburasirazuba,82,31234,7.9,6.7,9.1,62.3
Kirehe,Iburasirazuba,84,32234,8.1,6.9,9.2,62.1
Ngoma,Iburasirazuba,79,29234,7.6,6.5,9.0,62.5
Nyagatare,Iburasirazuba,117,44234,11.8,10.0,10.1,59.8
Rwamagana,Iburasirazuba,94,35234,9.2,7.8,9.5,61.4
Karongi,Iburengerazuba,82,31234,7.8,6.6,9.1,62.8
Ngororero,Iburengerazuba,79,29234,7.4,6.3,8.9,63.1
Nyabihu,Iburengerazuba,75,28234,7.1,6.0,8.8,63.3
Nyamasheke,Iburengerazuba,87,33234,8.4,7.1,9.2,62.6
Rubavu,Iburengerazuba,123,47234,13.4,11.4,10.4,58.9
Rutsiro,Iburengerazuba,71,26234,6.6,5.6,8.7,63.6
Rusizi,Iburengerazuba,118,44234,12.8,10.9,10.3,59.2
