Akarere,Intara,Uruhare_Telephone_%,Uruhare_Internet_%,Umubare_SIM,Umubare_Internet_Abakoresha
Gasabo,Kigali,0.707,0.549,206471,335310
Kicukiro,Kigali,0.792,0.575,579808,125072
Nyarugenge,Kigali,0.761,0.559,561342,238464
Bugesera,Uburasirazuba,0.726,0.581,108555,47506
Gatsibo,Uburasirazuba,0.729,0.635,491618,383549
Kayonza,Uburasirazuba,0.788,0.621,366191,283792
Kirehe,Uburasirazuba,0.797,0.596,473481,307839
Ngoma,Uburasirazuba,0.796,0.586,303396,242994
Nyagatare,Uburasirazuba,0.703,0.552,87154,260791
Rwamagana,Uburasirazuba,0.799,0.608,176461,139977
Burera,Amajyaruguru,0.796,0.592,55347,336227
Gakenke,Amajyaruguru,0.725,0.549,420533,332008
Gicumbi,Amajyaruguru,0.708,0.633,312105,154344
Musanze,Amajyaruguru,0.789,0.567,570914,279580
Rulindo,Amajyaruguru,0.791,0.59,159816,299463
Gisagara,Amajyepfo,0.787,0.561,161521,114884
Huye,Amajyepfo,0.762,0.556,108679,369671
Kamonyi,Amajyepfo,0.768,0.606,387604,310412
Muhanga,Amajyepfo,0.754,0.544,315260,255853
Nyamagabe,Amajyepfo,0.749,0.639,543349,350132
Nyanza,Amajyepfo,0.749,0.638,553803,126501
Nyaruguru,Amajyepfo,0.722,0.598,79781,323722
Ruhango,Amajyepfo,0.748,0.594,326361,169612
Karongi,Uburengerazuba,0.769,0.557,587078,285332
Ngororero,Uburengerazuba,0.746,0.609,56500,100085
Nyabihu,Uburengerazuba,0.758,0.573,387027,118686
Nyamasheke,Uburengerazuba,0.755,0.564,309239,252971
Rubavu,Uburengerazuba,0.737,0.59,165792,286270
Rutsiro,Uburengerazuba,0.737,0.625,203796,88357
Rusizi,Uburengerazuba,0.713,0.598,175711,57950
