Akarere,Intara,Telefoni_Zigendanye_%,Internet_%,Amafaranga_Koporatifu_%,Mobile_Money_%,Abaturage_Bafite_Telefoni,Inkomoko_Isoko
Gasabo,Kigali,94.7,78.3,87.4,91.2,705234,MTN/Airtel
Kicukiro,Kigali,93.8,76.9,86.1,90.4,382234,MTN/Airtel
Nyarugenge,Kigali,93.2,75.8,85.4,89.7,340012,MTN/Airtel
Burera,Amajyaruguru,72.4,42.3,61.8,74.3,274912,MTN/Airtel
Gakenke,Amajyaruguru,70.1,39.8,59.4,72.1,251012,MTN/Airtel
Gicumbi,Amajyaruguru,74.8,44.9,64.2,76.7,317012,MTN/Airtel
Musanze,Amajyaruguru,81.2,52.4,71.3,82.4,323012,MTN/Airtel
Rulindo,Amajyaruguru,68.4,37.9,57.8,70.4,182912,MTN
Gisagara,Amajyepfo,65.7,34.8,55.1,68.1,223612,MTN/Airtel
Huye,Amajyepfo,75.6,46.1,65.4,77.8,271412,MTN/Airtel
Kamonyi,Amajyepfo,71.3,41.2,60.7,73.2,243012,MTN/Airtel
Muhanga,Amajyepfo,72.8,42.9,62.1,74.8,250612,MTN/Airtel
Nyamagabe,Amajyepfo,64.9,33.9,54.3,67.3,219412,MTN
Nyanza,Amajyepfo,70.4,40.4,59.8,72.3,238512,MTN/Airtel
Nyaruguru,Amajyepfo,63.2,32.4,52.8,65.8,191012,MTN
Ruhango,Amajyepfo,71.8,41.8,61.2,73.7,247012,MTN/Airtel
Bugesera,Iburasirazuba,73.4,43.6,63.2,75.4,338312,MTN/Airtel
Gatsibo,Iburasirazuba,69.8,39.2,58.7,71.6,256912,MTN/Airtel
Kayonza,Iburasirazuba,68.9,38.1,57.9,70.7,235612,MTN/Airtel
Kirehe,Iburasirazuba,69.3,38.6,58.3,71.1,240912,MTN/Airtel
Ngoma,Iburasirazuba,71.2,41.1,60.6,73.1,223412,MTN/Airtel
Nyagatare,Iburasirazuba,74.6,44.8,64.8,76.9,356712,MTN/Airtel
Rwamagana,Iburasirazuba,73.9,44.2,64.1,76.2,254912,MTN/Airtel
Karongi,Iburengerazuba,68.7,37.8,57.6,70.5,234912,MTN/Airtel
Ngororero,Iburengerazuba,67.8,36.9,56.7,69.6,229112,MTN
Nyabihu,Iburengerazuba,68.2,37.3,57.1,70.0,212812,MTN/Airtel
Nyamasheke,Iburengerazuba,67.4,36.4,56.3,69.2,241012,MTN/Airtel
Rubavu,Iburengerazuba,84.3,56.7,74.8,85.6,360912,MTN/Airtel
Rutsiro,Iburengerazuba,65.1,34.1,54.6,67.4,204412,MTN
Rusizi,Iburengerazuba,80.7,51.2,70.6,82.1,337412,MTN/Airtel
