Ishuri,Akarere,Intara,Ubwoko,Abakekwa,Abashoboye,Nzirankwagaga_%,Bikomeye_A_%,Bikomeye_B_%,Biringanye_%,Abanyeshuri_Gukura
E.S. Groupe Scolaire Fawe,Gasabo,Kigali,Amashuri Yisumbuye,342,342,100.0,48.2,34.1,17.7,Kigali University
E.S. Lycée de Kigali,Nyarugenge,Kigali,Amashuri Yisumbuye,312,311,99.7,44.3,35.6,19.8,Kigali University
E.S. La Colombiere,Nyarugenge,Kigali,Amashuri Yisumbuye,289,288,99.7,42.1,36.2,21.4,Kigali University
E.S. APAPER,Kicukiro,Kigali,Amashuri Yisumbuye,256,254,99.2,38.7,35.2,25.4,Kigali University
E.S. Lycée Interconfessionnel,Kicukiro,Kigali,Amashuri Yisumbuye,278,275,98.9,36.4,34.9,27.6,Kigali University
G.S. Remera Catholique,Gasabo,Kigali,Amashuri Abanza,0,0,-,-,-,-,-
E.S. Groupe Scolaire Notre Dame de Citeaux,Musanze,Amajyaruguru,Amashuri Yisumbuye,234,232,99.1,40.2,33.8,25.6,University of Rwanda
E.S. Groupe Scolaire Byumba,Gicumbi,Amajyaruguru,Amashuri Yisumbuye,212,210,99.1,38.4,34.2,27.1,University of Rwanda
E.S. Groupe Scolaire Rulindo,Rulindo,Amajyaruguru,Amashuri Yisumbuye,178,174,97.8,32.1,33.4,32.2,University of Rwanda
E.S. Groupe Scolaire Huye,Huye,Amajyepfo,Amashuri Yisumbuye,267,265,99.3,39.7,34.5,25.3,University of Rwanda
E.S. Groupe Scolaire Kabgayi,Muhanga,Amajyepfo,Amashuri Yisumbuye,245,243,99.2,38.2,34.1,27.0,University of Rwanda
E.S. Nyanza SS,Nyanza,Amajyepfo,Amashuri Yisumbuye,189,186,98.4,33.2,33.6,32.0,University of Rwanda
E.S. Groupe Scolaire Ruhango,Ruhango,Amajyepfo,Amashuri Yisumbuye,167,163,97.6,30.1,32.8,34.6,University of Rwanda
E.S. Groupe Scolaire Kibungo,Ngoma,Iburasirazuba,Amashuri Yisumbuye,223,221,99.1,37.8,34.0,27.4,University of Rwanda
E.S. Groupe Scolaire Nyagatare,Nyagatare,Iburasirazuba,Amashuri Yisumbuye,234,230,98.3,35.6,33.7,29.0,University of Rwanda
E.S. Rwamagana SS,Rwamagana,Iburasirazuba,Amashuri Yisumbuye,198,195,98.5,34.2,33.5,31.3,University of Rwanda
E.S. Groupe Scolaire Gisenyi,Rubavu,Iburengerazuba,Amashuri Yisumbuye,245,243,99.2,39.1,34.3,26.1,University of Rwanda
E.S. Groupe Scolaire Kibuye,Karongi,Iburengerazuba,Amashuri Yisumbuye,212,209,98.6,36.3,33.8,29.2,University of Rwanda
E.S. Groupe Scolaire Rusizi,Rusizi,Iburengerazuba,Amashuri Yisumbuye,234,231,98.7,37.2,34.0,28.2,University of Rwanda
