Akarere,Intara,Gukura_Nabi_%,Ibiro_Bikabije_%,Uruhare_Inzano_Kwononoka_%,Abana_Barinzwe,Abana_Barongeye_Inkunga_y_Indyo
Gasabo,Kigali,0.094,0.067,0.832,2393,359
Kicukiro,Kigali,0.134,0.05,0.821,1558,863
Nyarugenge,Kigali,0.066,0.054,0.833,1491,735
Bugesera,Uburasirazuba,0.12,0.127,0.805,2012,703
Gatsibo,Uburasirazuba,0.186,0.079,0.828,1859,406
Kayonza,Uburasirazuba,0.065,0.094,0.828,1171,927
Kirehe,Uburasirazuba,0.067,0.043,0.875,1041,786
Ngoma,Uburasirazuba,0.112,0.045,0.815,966,239
Nyagatare,Uburasirazuba,0.063,0.055,0.857,2312,297
Rwamagana,Uburasirazuba,0.13,0.059,0.802,2339,114
Burera,Amajyaruguru,0.168,0.101,0.831,2574,909
Gakenke,Amajyaruguru,0.117,0.118,0.818,1458,487
Gicumbi,Amajyaruguru,0.1,0.098,0.87,840,760
Musanze,Amajyaruguru,0.053,0.042,0.841,1249,512
Rulindo,Amajyaruguru,0.057,0.083,0.891,1585,65
Gisagara,Amajyepfo,0.116,0.033,0.85,2415,800
Huye,Amajyepfo,0.124,0.087,0.863,2229,587
Kamonyi,Amajyepfo,0.196,0.108,0.853,2415,853
Muhanga,Amajyepfo,0.063,0.122,0.861,2979,764
Nyamagabe,Amajyepfo,0.165,0.073,0.828,1408,886
Nyanza,Amajyepfo,0.161,0.095,0.807,1978,372
Nyaruguru,Amajyepfo,0.129,0.099,0.882,1353,70
Ruhango,Amajyepfo,0.136,0.031,0.883,154,263
Karongi,Uburengerazuba,0.114,0.056,0.822,2056,360
Ngororero,Uburengerazuba,0.119,0.097,0.877,1765,386
Nyabihu,Uburengerazuba,0.182,0.117,0.815,2341,245
Nyamasheke,Uburengerazuba,0.077,0.033,0.86,2549,790
Rubavu,Uburengerazuba,0.131,0.125,0.833,1014,268
Rutsiro,Uburengerazuba,0.081,0.06,0.842,886,939
Rusizi,Uburengerazuba,0.083,0.066,0.814,2706,467
