Akarere,Intara,Abapolisi,Ibikorwa_bya_Polisi,Ibyaha_Byatanzwe,Ibikoresho_Polisi,Umutekano_%
Gasabo,Kigali,326,114,34,57,0.832
Kicukiro,Kigali,319,173,262,22,0.82
Nyarugenge,Kigali,345,70,127,33,0.805
Bugesera,Uburasirazuba,546,100,72,33,0.842
Gatsibo,Uburasirazuba,679,39,299,55,0.763
Kayonza,Uburasirazuba,103,12,221,41,0.794
Kirehe,Uburasirazuba,792,26,199,36,0.796
Ngoma,Uburasirazuba,641,124,139,18,0.801
Nyagatare,Uburasirazuba,464,95,119,18,0.81
Rwamagana,Uburasirazuba,483,170,86,42,0.791
Burera,Amajyaruguru,459,79,293,47,0.82
Gakenke,Amajyaruguru,134,101,213,15,0.823
Gicumbi,Amajyaruguru,787,196,238,39,0.758
Musanze,Amajyaruguru,717,26,152,60,0.846
Rulindo,Amajyaruguru,108,130,243,28,0.755
Gisagara,Amajyepfo,307,157,151,43,0.797
Huye,Amajyepfo,600,89,288,64,0.779
Kamonyi,Amajyepfo,76,185,229,59,0.806
Muhanga,Amajyepfo,96,99,67,8,0.849
Nyamagabe,Amajyepfo,656,128,100,11,0.801
Nyanza,Amajyepfo,688,62,57,26,0.836
Nyaruguru,Amajyepfo,60,31,68,49,0.765
Ruhango,Amajyepfo,384,163,93,57,0.798
Karongi,Uburengerazuba,649,173,115,11,0.765
Ngororero,Uburengerazuba,750,39,158,79,0.827
Nyabihu,Uburengerazuba,228,93,198,20,0.823
Nyamasheke,Uburengerazuba,308,132,231,13,0.767
Rubavu,Uburengerazuba,349,67,228,61,0.803
Rutsiro,Uburengerazuba,334,144,152,15,0.837
Rusizi,Uburengerazuba,58,186,145,55,0.846
