Akarere,Intara,Uruhare_Ubukene_%,Ubukene_Bukarishye_%,Umusaruro_Umuntu_Frw,Imikorere_Nziza_%
Gasabo,Kigali,0.212,0.067,205750,22
Kicukiro,Kigali,0.389,0.12,127240,29
Nyarugenge,Kigali,0.225,0.124,169369,14
Bugesera,Uburasirazuba,0.293,0.121,82671,33
Gatsibo,Uburasirazuba,0.361,0.107,173201,34
Kayonza,Uburasirazuba,0.404,0.068,186721,30
Kirehe,Uburasirazuba,0.454,0.067,58104,20
Ngoma,Uburasirazuba,0.336,0.133,104950,30
Nyagatare,Uburasirazuba,0.422,0.074,188659,29
Rwamagana,Uburasirazuba,0.249,0.174,149831,32
Burera,Amajyaruguru,0.416,0.08,66655,32
Gakenke,Amajyaruguru,0.281,0.166,202000,6
Gicumbi,Amajyaruguru,0.442,0.093,53413,29
Musanze,Amajyaruguru,0.373,0.069,135591,17
Rulindo,Amajyaruguru,0.35,0.128,117214,13
Gisagara,Amajyepfo,0.231,0.129,191783,12
Huye,Amajyepfo,0.353,0.065,221214,13
Kamonyi,Amajyepfo,0.342,0.106,71517,37
Muhanga,Amajyepfo,0.457,0.126,231929,30
Nyamagabe,Amajyepfo,0.326,0.099,127413,30
Nyanza,Amajyepfo,0.281,0.069,118289,22
Nyaruguru,Amajyepfo,0.471,0.082,208910,39
Ruhango,Amajyepfo,0.486,0.068,137669,14
Karongi,Uburengerazuba,0.453,0.099,156149,5
Ngororero,Uburengerazuba,0.26,0.128,103820,26
Nyabihu,Uburengerazuba,0.339,0.131,143605,32
Nyamasheke,Uburengerazuba,0.259,0.168,199701,13
Rubavu,Uburengerazuba,0.202,0.109,88929,17
Rutsiro,Uburengerazuba,0.452,0.165,239707,5
Rusizi,Uburengerazuba,0.397,0.162,192715,8
