Akarere,Intara,Umubare_Abanyeshuri,Abahungu,Abakobwa,Uruhare_Kwinjira_%,Umubare_Abamwarimu,Umubare_Abanyeshuri_Kumwarimu
Gasabo,Kigali,44033,16418,4884,0.91,948,39
Kicukiro,Kigali,16356,37864,9100,0.931,1019,20
Nyarugenge,Kigali,42770,21141,19773,0.97,774,22
Bugesera,Uburasirazuba,66333,8143,34570,0.965,1418,19
Gatsibo,Uburasirazuba,78840,12780,10280,0.916,1207,38
Kayonza,Uburasirazuba,24693,18581,10640,0.964,977,15
Kirehe,Uburasirazuba,52215,11103,25319,0.939,1468,20
Ngoma,Uburasirazuba,62167,33114,6252,0.91,1769,19
Nyagatare,Uburasirazuba,31470,20471,13444,0.986,1149,30
Rwamagana,Uburasirazuba,50981,26007,25132,0.935,1721,30
Burera,Amajyaruguru,66589,29415,14708,0.961,352,18
Gakenke,Amajyaruguru,16486,14993,10589,0.969,1119,25
Gicumbi,Amajyaruguru,17926,17813,10687,0.964,1448,31
Musanze,Amajyaruguru,79992,23976,21627,0.914,766,26
Rulindo,Amajyaruguru,11860,16925,4345,0.914,1667,39
Gisagara,Amajyepfo,44391,21818,28649,0.942,1711,27
Huye,Amajyepfo,13952,5110,31398,0.929,694,28
Kamonyi,Amajyepfo,20111,20463,30730,0.977,1189,17
Muhanga,Amajyepfo,16222,31904,33638,0.937,1680,16
Nyamagabe,Amajyepfo,59766,23668,39631,0.91,1694,33
Nyanza,Amajyepfo,29435,39975,20190,0.935,1670,25
Nyaruguru,Amajyepfo,79564,31922,12530,0.981,1258,23
Ruhango,Amajyepfo,59174,26779,9975,0.914,571,20
Karongi,Uburengerazuba,12273,16629,14119,0.954,782,32
Ngororero,Uburengerazuba,28831,13624,34888,0.999,1422,17
Nyabihu,Uburengerazuba,77319,32284,37075,0.999,1760,18
Nyamasheke,Uburengerazuba,70357,12988,29610,0.983,1570,31
Rubavu,Uburengerazuba,43241,24787,13673,0.941,1013,30
Rutsiro,Uburengerazuba,71369,7351,22562,0.928,1885,24
Rusizi,Uburengerazuba,76418,15782,4089,0.977,1518,33
