Akarere,Intara,Bisi_z_Leta,Moto_za_Leta,Abagenzi_Ku_Munsi,Aho_Gutura_Abagenzi,Uruhare_Abakorera_Gutwara_%
Gasabo,Kigali,26,74,45955,4620,0.73
Kicukiro,Kigali,47,36,16546,4982,0.646
Nyarugenge,Kigali,143,50,14640,287,0.547
Bugesera,Uburasirazuba,99,65,16689,253,0.68
Gatsibo,Uburasirazuba,82,93,18713,2207,0.642
Kayonza,Uburasirazuba,20,87,47679,3449,0.581
Kirehe,Uburasirazuba,130,12,4393,2084,0.59
Ngoma,Uburasirazuba,145,87,26714,3381,0.578
Nyagatare,Uburasirazuba,167,13,45180,1775,0.726
Rwamagana,Uburasirazuba,41,38,21535,2429,0.707
Burera,Amajyaruguru,40,71,18379,3495,0.617
Gakenke,Amajyaruguru,11,79,30259,481,0.7
Gicumbi,Amajyaruguru,127,35,49332,4700,0.723
Musanze,Amajyaruguru,149,35,8374,2347,0.544
Rulindo,Amajyaruguru,174,15,48528,2091,0.656
Gisagara,Amajyepfo,10,47,41793,716,0.635
Huye,Amajyepfo,194,14,11712,4897,0.626
Kamonyi,Amajyepfo,113,20,19500,1805,0.786
Muhanga,Amajyepfo,194,59,1704,4087,0.505
Nyamagabe,Amajyepfo,180,52,43520,3526,0.695
Nyanza,Amajyepfo,96,43,18258,2758,0.657
Nyaruguru,Amajyepfo,155,15,9614,2199,0.553
Ruhango,Amajyepfo,123,56,19696,4240,0.707
Karongi,Uburengerazuba,93,31,31398,4633,0.757
Ngororero,Uburengerazuba,199,81,6086,3283,0.685
Nyabihu,Uburengerazuba,88,52,37834,4643,0.53
Nyamasheke,Uburengerazuba,94,60,2599,1520,0.626
Rubavu,Uburengerazuba,52,48,19672,1058,0.641
Rutsiro,Uburengerazuba,33,96,45787,2123,0.746
Rusizi,Uburengerazuba,143,75,1372,1935,0.567
