Akarere,Intara,Imvura_Cyenda_mm,Imvura_Igihe_Cyabisi_mm,Imvura_Buri_Mwaka_mm,Ubushyuhe_Hagati_C,Ubushyuhe_Hejuru_C,Ubushyuhe_Hasi_C,Ibihe_Bya_Nyubahiro
Musanze,Amajyaruguru,312,487,1678,17.2,23.4,11.8,Ukwakira-Gashyantare/Werurwe-Kamena
Burera,Amajyaruguru,298,469,1634,16.4,22.8,10.6,Ukwakira-Gashyantare/Werurwe-Kamena
Gicumbi,Amajyaruguru,278,438,1534,18.1,24.6,12.4,Ukwakira-Gashyantare/Werurwe-Kamena
Gasabo,Kigali,234,367,1234,19.8,26.4,14.2,Ukwakira-Gashyantare/Werurwe-Kamena
Kicukiro,Kigali,241,378,1256,19.9,26.5,14.3,Ukwakira-Gashyantare/Werurwe-Kamena
Nyarugenge,Kigali,238,372,1245,20.1,26.8,14.4,Ukwakira-Gashyantare/Werurwe-Kamena
Huye,Amajyepfo,267,419,1423,19.2,25.6,13.8,Ukwakira-Gashyantare/Werurwe-Kamena
Nyamagabe,Amajyepfo,289,454,1567,16.8,23.2,11.2,Ukwakira-Gashyantare/Werurwe-Kamena
Nyaruguru,Amajyepfo,312,490,1689,15.9,22.1,10.4,Ukwakira-Gashyantare/Werurwe-Kamena
Nyagatare,Iburasirazuba,145,228,789,22.4,29.8,16.2,Ukwakira-Gashyantare/Werurwe-Kamena
Kirehe,Iburasirazuba,156,245,845,21.8,29.1,15.7,Ukwakira-Gashyantare/Werurwe-Kamena
Bugesera,Iburasirazuba,178,280,967,21.2,28.4,15.1,Ukwakira-Gashyantare/Werurwe-Kamena
Karongi,Iburengerazuba,312,490,1689,18.4,24.8,12.8,Ukwakira-Gashyantare/Werurwe-Kamena
Nyamasheke,Iburengerazuba,334,524,1812,17.8,24.1,12.1,Ukwakira-Gashyantare/Werurwe-Kamena
Rubavu,Iburengerazuba,289,454,1567,19.6,26.2,14.1,Ukwakira-Gashyantare/Werurwe-Kamena
Rusizi,Iburengerazuba,267,419,1445,20.4,27.1,14.8,Ukwakira-Gashyantare/Werurwe-Kamena
