Akarere,Intara,Impanuka_z_Imodoka_Byose,Impanuka_Zabuze_Ubuzima,Abantu_Bakomeretse,Impanuka_Moto,Inzira_z_Impanuka_Nyinshi
Gasabo,Kigali,71,48,113,78,462
Kicukiro,Kigali,92,31,59,18,2263
Nyarugenge,Kigali,228,42,166,40,1008
Bugesera,Uburasirazuba,260,41,49,65,1975
Gatsibo,Uburasirazuba,85,7,34,50,2555
Kayonza,Uburasirazuba,20,15,117,9,1831
Kirehe,Uburasirazuba,305,16,119,52,193
Ngoma,Uburasirazuba,114,48,121,47,2391
Nyagatare,Uburasirazuba,27,17,189,5,1134
Rwamagana,Uburasirazuba,120,21,55,61,2204
Burera,Amajyaruguru,389,35,37,35,2250
Gakenke,Amajyaruguru,49,40,47,49,1208
Gicumbi,Amajyaruguru,238,42,72,16,1443
Musanze,Amajyaruguru,355,6,149,71,2441
Rulindo,Amajyaruguru,265,38,48,77,1597
Gisagara,Amajyepfo,294,33,187,30,2377
Huye,Amajyepfo,142,19,174,37,2682
Kamonyi,Amajyepfo,311,20,57,50,317
Muhanga,Amajyepfo,69,32,109,65,513
Nyamagabe,Amajyepfo,349,28,194,63,352
Nyanza,Amajyepfo,46,17,188,17,912
Nyaruguru,Amajyepfo,151,6,52,62,848
Ruhango,Amajyepfo,194,14,177,53,507
Karongi,Uburengerazuba,58,29,27,69,1262
Ngororero,Uburengerazuba,344,46,43,32,2550
Nyabihu,Uburengerazuba,381,19,142,42,862
Nyamasheke,Uburengerazuba,351,34,131,53,2249
Rubavu,Uburengerazuba,105,41,21,68,942
Rutsiro,Uburengerazuba,71,21,33,34,1440
Rusizi,Uburengerazuba,46,24,135,72,1448
