Akarere,Intara,Inzira_Km_Byose,Inzira_za_Leta_Km,Inzira_Zahariwe_Km,Inzira_Nziza_%
Gasabo,Kigali,786,319,153,81,0.594
Kicukiro,Kigali,194,281,78,17,0.64
Nyarugenge,Kigali,413,186,65,71,0.569
Bugesera,Uburasirazuba,189,152,149,31,0.633
Gatsibo,Uburasirazuba,735,230,23,19,0.58
Kayonza,Uburasirazuba,247,159,10,65,0.588
Kirehe,Uburasirazuba,189,27,172,78,0.574
Ngoma,Uburasirazuba,590,270,112,41,0.602
Nyagatare,Uburasirazuba,423,229,126,35,0.614
Rwamagana,Uburasirazuba,132,218,22,84,0.563
Burera,Amajyaruguru,705,96,102,14,0.607
Gakenke,Amajyaruguru,677,270,109,71,0.576
Gicumbi,Amajyaruguru,324,250,23,93,0.571
Musanze,Amajyaruguru,418,358,25,81,0.556
Rulindo,Amajyaruguru,468,376,89,40,0.621
Gisagara,Amajyepfo,667,121,17,11,0.58
Huye,Amajyepfo,758,385,28,73,0.603
Kamonyi,Amajyepfo,192,219,57,64,0.568
Muhanga,Amajyepfo,611,177,30,65,0.586
Nyamagabe,Amajyepfo,394,272,177,20,0.568
Nyanza,Amajyepfo,351,148,40,99,0.594
Nyaruguru,Amajyepfo,314,139,198,35,0.587
Ruhango,Amajyepfo,623,183,147,62,0.606
Karongi,Uburengerazuba,210,310,185,29,0.646
Ngororero,Uburengerazuba,385,170,147,98,0.61
Nyabihu,Uburengerazuba,438,397,67,33,0.572
Nyamasheke,Uburengerazuba,691,28,166,70,0.578
Rubavu,Uburengerazuba,465,231,185,19,0.554
Rutsiro,Uburengerazuba,316,72,79,60,0.573
Rusizi,Uburengerazuba,658,54,85,92,0.623
