Akarere,Intara,Imihanda_Asfaro_km,Imihanda_Murusi_km,Imihanda_Ubutaka_km,Imihanda_Bose_km,Imihanda_Myiza_%,Inzira_Zihuza_Dutsi,Imodoka_Zarejewe
Gasabo,Kigali,342,89,23,454,94.3,12,87234
Kicukiro,Kigali,287,67,18,372,93.8,8,62341
Nyarugenge,Kigali,234,54,14,302,95.1,6,54234
Burera,Amajyaruguru,123,234,456,813,51.2,3,8234
Gakenke,Amajyaruguru,98,198,423,719,48.7,2,7123
Gicumbi,Amajyaruguru,145,267,489,901,54.6,4,9234
Musanze,Amajyaruguru,189,289,312,790,67.3,5,14234
Rulindo,Amajyaruguru,87,178,389,654,46.8,2,6234
Gisagara,Amajyepfo,78,189,412,679,44.3,2,6012
Huye,Amajyepfo,167,234,345,746,58.4,4,11234
Kamonyi,Amajyepfo,123,212,367,702,52.1,3,8734
Muhanga,Amajyepfo,134,223,356,713,54.8,3,9234
Nyamagabe,Amajyepfo,89,212,487,788,45.2,2,6734
Nyanza,Amajyepfo,112,201,389,702,51.6,3,8234
Nyaruguru,Amajyepfo,78,189,467,734,43.1,2,5834
Ruhango,Amajyepfo,118,206,378,702,52.8,3,8534
Bugesera,Iburasirazuba,134,289,534,957,47.3,3,9834
Gatsibo,Iburasirazuba,112,256,512,880,45.6,2,8234
Kayonza,Iburasirazuba,98,234,489,821,44.2,2,7634
Kirehe,Iburasirazuba,103,245,498,846,44.8,2,7834
Ngoma,Iburasirazuba,123,223,412,758,50.1,3,8734
Nyagatare,Iburasirazuba,167,312,578,1057,48.7,4,11234
Rwamagana,Iburasirazuba,134,212,367,713,54.3,3,9834
Karongi,Iburengerazuba,98,223,467,788,45.7,2,7234
Ngororero,Iburengerazuba,87,212,456,755,44.1,2,6834
Nyabihu,Iburengerazuba,89,198,423,710,45.4,2,7034
Nyamasheke,Iburengerazuba,98,234,512,844,44.6,2,7234
Rubavu,Iburengerazuba,178,267,312,757,68.4,5,18234
Rutsiro,Iburengerazuba,78,189,467,734,43.4,2,5834
Rusizi,Iburengerazuba,167,256,389,812,61.2,4,14234
