Akarere,Intara,Umubare_SACCO,Abanyamuryango_SACCO,Amafaranga_Biriho_Miliyoni_Frw,Amafaranga_Inguzanyo_SACCO_Miliyoni,Amafaranga_Bweresha_Miliyoni
Gasabo,Kigali,28,9433,3465,89,2326
Kicukiro,Kigali,24,1111,1911,11,1192
Nyarugenge,Kigali,8,9546,2064,369,4767
Bugesera,Uburasirazuba,11,11231,1801,100,4950
Gatsibo,Uburasirazuba,12,1569,434,66,1523
Kayonza,Uburasirazuba,7,8992,6171,31,245
Kirehe,Uburasirazuba,7,3025,7105,362,1765
Ngoma,Uburasirazuba,17,3088,367,423,4562
Nyagatare,Uburasirazuba,2,10323,3155,395,643
Rwamagana,Uburasirazuba,28,4923,2073,406,3338
Burera,Amajyaruguru,28,14667,7982,442,4404
Gakenke,Amajyaruguru,3,2594,7408,399,1039
Gicumbi,Amajyaruguru,12,5926,4876,488,1298
Musanze,Amajyaruguru,3,9432,1674,272,3968
Rulindo,Amajyaruguru,11,1272,6405,437,4272
Gisagara,Amajyepfo,29,13344,1832,49,2406
Huye,Amajyepfo,20,1440,4167,378,3260
Kamonyi,Amajyepfo,16,7729,3821,167,1932
Muhanga,Amajyepfo,21,10876,4059,141,2064
Nyamagabe,Amajyepfo,27,8967,485,117,1094
Nyanza,Amajyepfo,26,6240,2586,445,2899
Nyaruguru,Amajyepfo,28,5924,4494,75,511
Ruhango,Amajyepfo,14,5597,4754,237,3143
Karongi,Uburengerazuba,13,7279,3389,404,1653
Ngororero,Uburengerazuba,12,3103,2023,326,1859
Nyabihu,Uburengerazuba,4,12717,4199,325,3950
Nyamasheke,Uburengerazuba,27,1926,756,28,1081
Rubavu,Uburengerazuba,7,5273,2561,409,3449
Rutsiro,Uburengerazuba,9,10731,7984,499,3786
Rusizi,Uburengerazuba,22,13729,266,156,4129
