Akarere,Intara,Amashuri_Afite_Kompyuta_%,Lab_Kompyuta_Amashuri,Kompyuta_Ku_Ishuri,Kompyuta_Zarindirwa_Gucurikana
Gasabo,Kigali,0.618,4,35,16
Kicukiro,Kigali,0.746,2,34,5
Nyarugenge,Kigali,0.709,1,32,21
Bugesera,Uburasirazuba,0.708,2,25,28
Gatsibo,Uburasirazuba,0.871,3,43,4
Kayonza,Uburasirazuba,0.71,4,5,13
Kirehe,Uburasirazuba,0.56,1,48,10
Ngoma,Uburasirazuba,0.575,3,29,10
Nyagatare,Uburasirazuba,0.524,2,12,11
Rwamagana,Uburasirazuba,0.724,1,33,27
Burera,Amajyaruguru,0.61,4,44,17
Gakenke,Amajyaruguru,0.622,3,23,8
Gicumbi,Amajyaruguru,0.716,3,8,5
Musanze,Amajyaruguru,0.792,2,16,3
Rulindo,Amajyaruguru,0.819,3,39,10
Gisagara,Amajyepfo,0.809,3,17,24
Huye,Amajyepfo,0.849,3,26,5
Kamonyi,Amajyepfo,0.813,4,9,24
Muhanga,Amajyepfo,0.559,1,44,10
Nyamagabe,Amajyepfo,0.858,1,28,13
Nyanza,Amajyepfo,0.766,2,27,4
Nyaruguru,Amajyepfo,0.724,2,22,14
Ruhango,Amajyepfo,0.625,3,28,26
Karongi,Uburengerazuba,0.837,4,47,25
Ngororero,Uburengerazuba,0.785,4,30,15
Nyabihu,Uburengerazuba,0.816,3,30,13
Nyamasheke,Uburengerazuba,0.639,1,21,14
Rubavu,Uburengerazuba,0.768,3,14,17
Rutsiro,Uburengerazuba,0.899,4,22,6
Rusizi,Uburengerazuba,0.799,1,24,16
