Akarere,Intara,Amashuri_Yisumbuye,Abanyeshuri_Byose,Abahungu,Abakobwa,Abamurimu,Uruhare_Kuzamura_%
Gasabo,Kigali,74,16891,6138,6995,160,0.883
Kicukiro,Kigali,30,11605,3972,12354,228,0.861
Nyarugenge,Kigali,31,27581,13856,12258,914,0.906
Bugesera,Uburasirazuba,67,3864,8037,10120,354,0.879
Gatsibo,Uburasirazuba,48,16425,6215,8422,240,0.848
Kayonza,Uburasirazuba,38,6743,14191,6681,463,0.812
Kirehe,Uburasirazuba,6,4025,8638,9340,340,0.949
Ngoma,Uburasirazuba,62,23354,10634,8149,89,0.942
Nyagatare,Uburasirazuba,28,18036,13554,8370,658,0.911
Rwamagana,Uburasirazuba,45,2369,4892,3229,965,0.808
Burera,Amajyaruguru,66,26337,11208,8097,219,0.856
Gakenke,Amajyaruguru,57,27409,1930,14274,897,0.907
Gicumbi,Amajyaruguru,10,6904,3497,9786,64,0.938
Musanze,Amajyaruguru,20,20992,13902,568,278,0.922
Rulindo,Amajyaruguru,67,29547,14812,12485,403,0.926
Gisagara,Amajyepfo,8,5108,4069,10193,887,0.863
Huye,Amajyepfo,47,26048,9579,3470,884,0.91
Kamonyi,Amajyepfo,25,21018,6530,6497,314,0.935
Muhanga,Amajyepfo,66,15158,9201,9584,425,0.904
Nyamagabe,Amajyepfo,38,20225,3733,9745,159,0.935
Nyanza,Amajyepfo,41,6317,5246,14180,293,0.902
Nyaruguru,Amajyepfo,74,12547,8275,4628,591,0.816
Ruhango,Amajyepfo,13,24863,13318,14278,577,0.875
Karongi,Uburengerazuba,14,29871,7299,2085,267,0.925
Ngororero,Uburengerazuba,18,23113,12192,4005,634,0.866
Nyabihu,Uburengerazuba,15,18313,1095,14037,778,0.828
Nyamasheke,Uburengerazuba,20,10219,8747,14254,374,0.943
Rubavu,Uburengerazuba,74,11153,3409,9839,421,0.823
Rutsiro,Uburengerazuba,26,2845,3167,3317,675,0.866
Rusizi,Uburengerazuba,70,3012,4063,8164,579,0.822
