Akarere,Intara,Abafite_Inkunga_Ubudehe,Abana_Impfubyi_Barinzwe,Abakuze_Barinzwe,Abaturage_Bafite_Ubukene_Bukarishye,Uruhare_Inkunga_%
Gasabo,Kigali,20561,13287,4283,1202,0.169
Kicukiro,Kigali,25342,7948,7629,2171,0.245
Nyarugenge,Kigali,11825,2141,7329,1323,0.285
Bugesera,Uburasirazuba,23226,2209,2533,1538,0.203
Gatsibo,Uburasirazuba,22402,8748,1896,1593,0.383
Kayonza,Uburasirazuba,19646,12473,476,2368,0.304
Kirehe,Uburasirazuba,15159,5658,5001,1709,0.238
Ngoma,Uburasirazuba,1149,13407,1652,1837,0.175
Nyagatare,Uburasirazuba,15269,1728,4211,853,0.181
Rwamagana,Uburasirazuba,15134,2756,5321,1207,0.249
Burera,Amajyaruguru,9679,6710,1621,4076,0.177
Gakenke,Amajyaruguru,13718,12670,1462,1833,0.258
Gicumbi,Amajyaruguru,11417,13122,1748,1028,0.16
Musanze,Amajyaruguru,12441,11286,7227,885,0.2
Rulindo,Amajyaruguru,14899,10146,2273,2163,0.288
Gisagara,Amajyepfo,24194,10857,2734,3845,0.37
Huye,Amajyepfo,15553,13891,6775,2005,0.177
Kamonyi,Amajyepfo,4128,806,1413,2550,0.342
Muhanga,Amajyepfo,7858,10335,2868,4884,0.334
Nyamagabe,Amajyepfo,13595,4697,3990,3828,0.212
Nyanza,Amajyepfo,5422,7912,2145,3856,0.366
Nyaruguru,Amajyepfo,29833,4086,6600,1072,0.327
Ruhango,Amajyepfo,24488,10666,4118,987,0.398
Karongi,Uburengerazuba,18144,9699,1989,748,0.16
Ngororero,Uburengerazuba,29721,13971,3525,3120,0.173
Nyabihu,Uburengerazuba,2477,6405,2590,3203,0.208
Nyamasheke,Uburengerazuba,10749,7448,4176,3254,0.226
Rubavu,Uburengerazuba,8808,4568,2937,2148,0.23
Rutsiro,Uburengerazuba,2379,1092,606,3749,0.203
Rusizi,Uburengerazuba,14689,13672,985,1005,0.387
