Akarere,Intara,Stadiye,Ibibuga_bya_Akadiri,Ibibuga_Milipika,Ibibuga_Akadiri_Byose,Inzobere_z_Siporo
Gasabo,Kigali,1,2,3,21,2910
Kicukiro,Kigali,9,3,2,17,5047
Nyarugenge,Kigali,1,3,6,33,9725
Bugesera,Uburasirazuba,8,4,18,49,6506
Gatsibo,Uburasirazuba,5,2,17,38,8170
Kayonza,Uburasirazuba,1,1,18,11,7493
Kirehe,Uburasirazuba,8,1,9,43,1032
Ngoma,Uburasirazuba,6,1,3,29,9842
Nyagatare,Uburasirazuba,2,3,2,42,8558
Rwamagana,Uburasirazuba,3,3,18,31,9470
Burera,Amajyaruguru,5,4,9,42,6861
Gakenke,Amajyaruguru,1,4,11,37,1297
Gicumbi,Amajyaruguru,4,2,5,27,2143
Musanze,Amajyaruguru,7,4,2,17,3831
Rulindo,Amajyaruguru,4,3,14,30,4898
Gisagara,Amajyepfo,2,1,15,13,6115
Huye,Amajyepfo,9,4,16,14,4058
Kamonyi,Amajyepfo,1,3,6,42,6602
Muhanga,Amajyepfo,9,1,15,10,1006
Nyamagabe,Amajyepfo,7,1,4,19,2646
Nyanza,Amajyepfo,2,4,5,18,7126
Nyaruguru,Amajyepfo,3,2,12,20,6597
Ruhango,Amajyepfo,5,3,16,6,8429
Karongi,Uburengerazuba,4,3,5,36,3795
Ngororero,Uburengerazuba,8,4,5,36,5285
Nyabihu,Uburengerazuba,8,4,3,39,2953
Nyamasheke,Uburengerazuba,5,1,4,34,2271
Rubavu,Uburengerazuba,2,3,8,22,6089
Rutsiro,Uburengerazuba,1,3,13,44,575
Rusizi,Uburengerazuba,4,2,13,9,9174
