Ubwoko_bwa_Gasutamo,Imyaka,Amafaranga_Miliyari_Frw,Impinduka_%_uburengerazuba,Intego_Miliyari_Frw,Igera_Intego_%,Uruhare_%
Umusoro_ku_mutungo,2022,1234.5,+14.2,1189.3,103.8,31.4
Umusoro_ku_nyungu,2022,876.3,+18.7,834.2,105.0,22.3
PAYE,2022,567.8,+12.3,542.1,104.7,14.4
VAT_imbere_mu_gihugu,2022,445.6,+9.8,423.4,105.2,11.3
Umusoro_ku_gucuruza,2022,234.5,+21.4,212.3,110.5,6.0
Umusoro_wa_gasutamo,2022,312.4,+16.7,289.6,107.9,7.9
Excise_duty,2022,189.3,+8.4,179.8,105.3,4.8,
Umusoro_ku_nzoga,2022,67.8,+11.2,63.4,107.0,1.7
Umusoro_ku_imodoka,2022,45.6,+23.4,38.9,117.2,1.2
Umusoro_w_amamirioni,2022,23.4,+34.6,18.9,123.8,0.6
Umusoro_ku_mutungo,2021,1081.0,+11.3,987.4,109.5,30.8
Umusoro_ku_nyungu,2021,738.2,+13.4,698.7,105.7,21.0
PAYE,2021,505.7,+9.8,478.3,105.7,14.4
VAT_imbere_mu_gihugu,2021,405.8,+7.2,389.4,104.2,11.6
Umusoro_ku_gucuruza,2021,193.1,+18.7,167.8,115.1,5.5
Umusoro_wa_gasutamo,2021,267.7,+12.3,245.6,109.0,7.6
