Umwaka,Igice,Inzira,Abashyitsi,Amajyaruguru_%,Impinduka_%,Umusaruro_MUSD,Ahantu_Hazwi_Cyane
2022,Q1,Kigali,67234,34.2,+23.4,34.5,Kigali/Musanze
2022,Q2,Kigali,89234,38.7,+28.9,45.6,Kigali/Musanze/Nyungwe
2022,Q3,Kigali,112234,42.3,+31.2,57.8,Kigali/Musanze
2022,Q4,Kigali,98234,39.8,+26.7,50.4,Kigali/Musanze/Akagera
2022,Q1,Musanze,34234,91.2,+18.7,28.9,Volcan/Gorilla
2022,Q2,Musanze,45234,93.4,+24.3,38.2,Volcan/Gorilla
2022,Q3,Musanze,56234,94.1,+29.8,47.4,Volcan/Gorilla
2022,Q4,Musanze,48234,92.7,+22.6,40.6,Volcan/Gorilla
2022,Q1,Nyungwe,8234,78.4,+12.3,12.4,Nyungwe Forest
2022,Q2,Nyungwe,12234,81.2,+18.9,18.4,Nyungwe Forest
2022,Q3,Nyungwe,15234,83.6,+22.4,22.8,Nyungwe Forest
2022,Q4,Nyungwe,11234,80.1,+16.2,16.8,Nyungwe Forest
2022,Q1,Akagera,6234,72.4,+34.5,9.4,Akagera Park
2022,Q2,Akagera,8234,74.8,+41.2,12.4,Akagera Park
2022,Q3,Akagera,10234,76.3,+47.8,15.4,Akagera Park
2022,Q4,Akagera,7234,73.2,+38.4,10.9,Akagera Park
2021,Q1,Kigali,54512,29.8,-12.4,27.9,Kigali
2021,Q2,Kigali,69234,33.2,-8.7,35.4,Kigali/Musanze
2021,Q3,Kigali,85634,37.1,-4.2,44.1,Kigali/Musanze
2021,Q4,Kigali,77512,36.4,-6.8,39.8,Kigali/Musanze
