Ishuri,Akarere,Intara,Ubwoko_bwa_TVET,Abanyeshuri_Bose,Abahungu,Abakobwa,Amashami_y_Akazi,Abarangira_Akazi_%
IPRC Kigali,Gasabo,Kigali,TVET ya Leta,3456,2134,1322,Ubwubatsi/ICT/Imashini,87.3
IPRC North,Musanze,Amajyaruguru,TVET ya Leta,2345,1456,889,Ubuhinzi/Ubwubatsi/Imashini,84.6
IPRC South,Huye,Amajyepfo,TVET ya Leta,2123,1312,811,Ubuhinzi/Imashini/Imodoka,83.2
IPRC East,Rwamagana,Iburasirazuba,TVET ya Leta,1987,1234,753,Ubuhinzi/ICT/Amashanyarazi,82.8
IPRC West,Karongi,Iburengerazuba,TVET ya Leta,1876,1167,709,Ubuhinzi/Ubwubatsi/Imashini,81.9
Nyagatare TVET,Nyagatare,Iburasirazuba,TVET ya Akarere,1234,756,478,Ubuhinzi/Ubworozi,79.4
Rubavu TVET,Rubavu,Iburengerazuba,TVET ya Akarere,1123,689,434,Ubukerarugendo/ICT,80.2
Rusizi TVET,Rusizi,Iburengerazuba,TVET ya Akarere,1045,634,411,Ubuhinzi/Ubworozi,78.9
Bugesera TVET,Bugesera,Iburasirazuba,TVET ya Akarere,987,601,386,Ubuhinzi/Imashini,78.4
Gicumbi TVET,Gicumbi,Amajyaruguru,TVET ya Akarere,934,567,367,Ubuhinzi/Ubworozi,77.8
Nyanza TVET,Nyanza,Amajyepfo,TVET ya Akarere,878,534,344,Ubuhinzi/Ubwubatsi,77.2
Muhanga TVET,Muhanga,Amajyepfo,TVET ya Akarere,845,512,333,Ubuhinzi/Imashini,76.8
Kibungo TVET,Ngoma,Iburasirazuba,TVET ya Akarere,812,489,323,Ubuhinzi/ICT,76.4
Nyamasheke TVET,Nyamasheke,Iburengerazuba,TVET ya Akarere,756,456,300,Ubuhinzi/Icyayi,75.8
Gakenke TVET,Gakenke,Amajyaruguru,TVET ya Akarere,723,434,289,Ubuhinzi/Ubworozi,75.2
