Akarere,Intara,Amashuri_TVET,Abanyeshuri_TVET,Abanyeshuri_TVET_Barangije,Inzego_z_Amashuri_TVET,Imyanya_y_Akazi_Abarangije
Gasabo,Kigali,9,377,1727,8,8246
Kicukiro,Kigali,6,932,2335,8,2580
Nyarugenge,Kigali,1,1244,983,11,12298
Bugesera,Uburasirazuba,7,686,600,12,8672
Gatsibo,Uburasirazuba,1,3279,2281,18,9849
Kayonza,Uburasirazuba,3,3118,1151,15,10401
Kirehe,Uburasirazuba,6,1791,2470,9,13831
Ngoma,Uburasirazuba,2,2728,932,3,9737
Nyagatare,Uburasirazuba,2,4840,2497,17,5837
Rwamagana,Uburasirazuba,1,4046,402,9,10804
Burera,Amajyaruguru,5,1212,1035,16,5617
Gakenke,Amajyaruguru,9,2163,1073,14,6936
Gicumbi,Amajyaruguru,4,1881,848,8,10987
Musanze,Amajyaruguru,2,1163,517,4,13167
Rulindo,Amajyaruguru,6,3132,2255,11,11577
Gisagara,Amajyepfo,4,3255,573,3,2075
Huye,Amajyepfo,6,1571,2090,15,9542
Kamonyi,Amajyepfo,1,1164,1401,3,6072
Muhanga,Amajyepfo,5,983,1135,14,6096
Nyamagabe,Amajyepfo,7,1439,1877,11,2759
Nyanza,Amajyepfo,4,3931,534,8,7294
Nyaruguru,Amajyepfo,8,739,2331,7,14028
Ruhango,Amajyepfo,6,3703,2195,13,11910
Karongi,Uburengerazuba,1,142,2162,2,12862
Ngororero,Uburengerazuba,3,4518,547,3,3588
Nyabihu,Uburengerazuba,8,1878,2277,12,12509
Nyamasheke,Uburengerazuba,5,3547,759,2,8647
Rubavu,Uburengerazuba,9,844,1067,11,9465
Rutsiro,Uburengerazuba,2,2806,1200,19,10504
Rusizi,Uburengerazuba,9,4883,1676,3,6951
