Akarere,Intara,Inzu_Kalasi_1,Inzu_Kalasi_2,Inzu_Kalasi_3,Inzu_Kalasi_4,Inzu_Bose,Ubudehe_1_%,VUP_Nshingiro_Frw_Inzu,Pomu_Abantu
Gasabo,Kigali,8234,42341,98234,35511,184320,4.5,10000,12341
Kicukiro,Kigali,5234,28341,48234,16932,98741,5.3,10000,7841
Nyarugenge,Kigali,6234,32341,38234,12203,89012,7.0,10000,9356
Burera,Amajyaruguru,18234,38234,17234,2532,76234,23.9,10000,27351
Gakenke,Amajyaruguru,17234,36234,15234,2501,71203,24.2,10000,25851
Gicumbi,Amajyaruguru,21234,44234,18234,2310,86012,24.7,10000,31851
Musanze,Amajyaruguru,16234,38234,23234,2729,80431,20.2,10000,24351
Rulindo,Amajyaruguru,14234,28234,10234,1310,54012,26.4,10000,21351
Gisagara,Amajyepfo,19234,34234,13234,2039,68741,28.0,10000,28851
Huye,Amajyepfo,16234,34234,19234,2639,72341,22.4,10000,24351
Kamonyi,Amajyepfo,17234,32234,16234,2310,68012,25.4,10000,25851
Muhanga,Amajyepfo,17234,32234,17234,2310,69012,25.0,10000,25851
Nyamagabe,Amajyepfo,20234,32234,13234,2310,68012,29.7,10000,30351
Nyanza,Amajyepfo,18234,31234,15234,3129,67831,26.9,10000,27351
Nyaruguru,Amajyepfo,19234,28234,11234,2010,60712,31.7,10000,28851
Ruhango,Amajyepfo,17234,32234,16234,3710,69412,24.8,10000,25851
Bugesera,Iburasirazuba,21234,42234,26234,2310,92012,23.1,10000,31851
Gatsibo,Iburasirazuba,19234,34234,17234,2910,73612,26.1,10000,28851
Kayonza,Iburasirazuba,18234,32234,15234,2710,68412,26.7,10000,27351
Kirehe,Iburasirazuba,19234,33234,15234,1910,69612,27.6,10000,28851
Ngoma,Iburasirazuba,17234,29234,13234,3110,62812,27.4,10000,25851
Nyagatare,Iburasirazuba,20234,44234,28234,2910,95612,21.2,10000,30351
Rwamagana,Iburasirazuba,16234,32234,17234,3310,69012,23.5,10000,24351
Karongi,Iburengerazuba,19234,32234,14234,2710,68412,28.1,10000,28851
Ngororero,Iburengerazuba,19234,31234,14234,2910,67612,28.5,10000,28851
Nyabihu,Iburengerazuba,18234,29234,12234,2710,62412,29.2,10000,27351
Nyamasheke,Iburengerazuba,21234,33234,14234,2910,71612,29.7,10000,31851
Rubavu,Iburengerazuba,14234,36234,29234,5910,85612,16.6,10000,21351
Rutsiro,Iburengerazuba,19234,29234,11234,3110,62812,30.6,10000,28851
Rusizi,Iburengerazuba,15234,36234,27234,4910,83612,18.2,10000,22851
