Akarere,Intara,Uruhare_DPT3_%,Uruhare_Measles_%,Uruhare_BCG_%,Uruhare_Polio_%
Gasabo,Kigali,0.886,0.863,0.867,0.793
Kicukiro,Kigali,0.94,0.876,0.902,0.858
Nyarugenge,Kigali,0.919,0.799,0.938,0.84
Bugesera,Uburasirazuba,0.874,0.872,0.888,0.873
Gatsibo,Uburasirazuba,0.914,0.867,0.875,0.885
Kayonza,Uburasirazuba,0.872,0.899,0.864,0.767
Kirehe,Uburasirazuba,0.838,0.81,0.886,0.849
Ngoma,Uburasirazuba,0.862,0.903,0.932,0.868
Nyagatare,Uburasirazuba,0.85,0.866,0.904,0.768
Rwamagana,Uburasirazuba,0.856,0.854,0.9,0.774
Burera,Amajyaruguru,0.933,0.809,0.913,0.851
Gakenke,Amajyaruguru,0.893,0.891,0.905,0.866
Gicumbi,Amajyaruguru,0.823,0.795,0.911,0.831
Musanze,Amajyaruguru,0.898,0.882,0.893,0.839
Rulindo,Amajyaruguru,0.88,0.865,0.883,0.884
Gisagara,Amajyepfo,0.878,0.887,0.915,0.792
Huye,Amajyepfo,0.829,0.797,0.895,0.818
Kamonyi,Amajyepfo,0.844,0.863,0.885,0.851
Muhanga,Amajyepfo,0.908,0.893,0.938,0.768
Nyamagabe,Amajyepfo,0.864,0.857,0.886,0.815
Nyanza,Amajyepfo,0.852,0.82,0.868,0.791
Nyaruguru,Amajyepfo,0.866,0.864,0.88,0.871
Ruhango,Amajyepfo,0.839,0.829,0.906,0.794
Karongi,Uburengerazuba,0.912,0.85,0.901,0.82
Ngororero,Uburengerazuba,0.857,0.793,0.936,0.821
Nyabihu,Uburengerazuba,0.936,0.816,0.888,0.757
Nyamasheke,Uburengerazuba,0.879,0.896,0.912,0.816
Rubavu,Uburengerazuba,0.884,0.892,0.894,0.874
Rutsiro,Uburengerazuba,0.907,0.882,0.889,0.806
Rusizi,Uburengerazuba,0.888,0.813,0.904,0.76
